PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
2674,173794,176673,176673,2879,0,1
915,173223,175757,176672,2534,1,1
