PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
1365,174325,174983,176348,658,1,1
3598,172731,176350,176350,3619,0,1
3598,174495,176349,176349,1854,0,1
3598,173794,176351,179949,2557,1,1
