,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
63,118,827,2099.0,True,2099.0,True,4758.0,1,1,5757.0,5757.0,999.0,999.0,0.0,0.0,0.0,0.0
72,158,750,7.0,True,7.0,True,5651.0,0,8,5757.0,5764.0,106.0,113.0,0.0,0.0,1.0,1.0
70,12,922,43.0,True,43.0,True,5447.0,0,7,5765.0,5808.0,318.0,361.0,0.0,0.0,1.0,1.0
69,142,761,92.0,True,92.0,True,5435.0,0,7,5809.0,5901.0,374.0,466.0,0.0,0.0,1.0,1.0
71,46,969,490.0,True,490.0,True,5493.0,0,7,5902.0,6392.0,409.0,899.0,0.0,0.0,1.0,1.0
75,134,1166,1.0,True,1.0,True,5995.0,0,11,6393.0,6394.0,398.0,399.0,0.0,0.0,1.0,1.0
78,115,638,1.0,True,1.0,True,6215.0,0,10,6395.0,6396.0,180.0,181.0,0.0,0.0,1.0,1.0
77,42,791,262.0,True,262.0,True,6100.0,0,9,6397.0,6659.0,297.0,559.0,0.0,0.0,1.0,1.0
80,154,1197,2.0,True,2.0,True,6491.0,0,10,6660.0,6662.0,169.0,171.0,0.0,0.0,1.0,1.0
81,142,938,81.0,True,81.0,True,6633.0,0,9,6663.0,6744.0,30.0,111.0,0.0,0.0,1.0,1.0
82,35,1177,2.0,True,2.0,True,6668.0,0,9,6745.0,6747.0,77.0,79.0,0.0,0.0,1.0,1.0
79,122,1187,272.0,True,272.0,True,6337.0,0,8,6748.0,7020.0,411.0,683.0,0.0,0.0,1.0,1.0
86,91,605,1.0,True,1.0,True,6939.0,0,13,7021.0,7022.0,82.0,83.0,0.0,0.0,1.0,1.0
83,105,941,59.0,True,59.0,True,6773.0,0,12,7023.0,7082.0,250.0,309.0,0.0,0.0,1.0,1.0
89,60,1198,1.0,True,1.0,True,7060.0,0,12,7083.0,7084.0,23.0,24.0,0.0,0.0,1.0,1.0
85,2,698,593.0,True,593.0,True,6848.0,0,11,7085.0,7678.0,237.0,830.0,0.0,0.0,1.0,1.0
96,46,844,1.0,True,1.0,True,7375.0,0,19,7679.0,7680.0,304.0,305.0,0.0,0.0,1.0,1.0
97,134,917,1.0,True,1.0,True,7509.0,0,18,7681.0,7682.0,172.0,173.0,0.0,0.0,1.0,1.0
93,10,667,4.0,True,4.0,True,7201.0,0,17,7683.0,7687.0,482.0,486.0,0.0,0.0,1.0,1.0
90,107,706,6.0,True,6.0,True,7167.0,0,16,7688.0,7694.0,521.0,527.0,0.0,0.0,1.0,1.0
94,54,601,76.0,True,76.0,True,7255.0,0,16,7695.0,7771.0,440.0,516.0,0.0,0.0,1.0,1.0
95,74,693,83.0,True,83.0,True,7329.0,0,15,7772.0,7855.0,443.0,526.0,0.0,0.0,1.0,1.0
98,44,847,231.0,True,231.0,True,7553.0,0,15,7856.0,8087.0,303.0,534.0,0.0,0.0,1.0,1.0
102,20,743,60.0,True,60.0,True,7950.0,0,17,8088.0,8148.0,138.0,198.0,0.0,0.0,1.0,1.0
92,16,756,550.0,True,550.0,True,7191.0,0,16,8149.0,8149.0,958.0,958.0,0.0,0.0,0.0,0.0
104,112,938,172.0,True,172.0,True,8187.0,0,0,8188.0,8360.0,1.0,173.0,0.0,0.0,1.0,1.0
105,53,864,29.0,True,29.0,True,8240.0,0,16,8361.0,8390.0,121.0,150.0,0.0,0.0,1.0,1.0
