PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
16,174325,176148,176164,1823,1,1
200,174495,174534,174734,39,1,1
402,174035,176165,176567,2130,1,1
10,172913,174735,174745,1822,1,1
2291,172500,179243,179243,6743,0,1
915,173223,175232,176147,2009,1,1
485,173610,174746,175231,1136,1,1
2674,173794,176568,179242,2774,1,1
