PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
16,76003,76026,76042,23,1,1
2674,75911,76260,78934,349,1,1
