,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
0,1,328,1.0,True,1.0,True,1.0,-1,0,0,0.0,0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
1,127,473,1.0,True,1.0,True,128.0,-1,0,0,0.0,0,128.0,129.0,0.0,1.0,126.0,0.0,1.0,1.0
2,102,115,1.0,True,1.0,True,230.0,-1,0,0,0.0,0,230.0,231.0,0.0,1.0,101.0,0.0,1.0,1.0
3,35,388,1.0,True,1.0,True,265.0,-1,0,0,0.0,0,265.0,266.0,0.0,1.0,34.0,0.0,1.0,1.0
4,30,231,1.0,True,1.0,True,295.0,-1,0,0,0.0,0,295.0,296.0,0.0,1.0,29.0,0.0,1.0,1.0
5,2,220,1.0,True,1.0,True,297.0,-1,0,0,0.0,0,297.0,298.0,0.0,1.0,1.0,0.0,1.0,1.0
6,119,233,593.0,True,56.0,True,416.0,-1,1,0,0.0,0,416.0,590.0,0.0,174.0,118.0,0.0,1.0,0.0
7,114,159,1.0,True,1.0,True,530.0,-1,0,0,0.0,0,591.0,592.0,61.0,62.0,0.0,0.0,1.0,1.0
8,60,230,1.0,True,1.0,True,590.0,-1,0,0,0.0,1,593.0,594.0,3.0,4.0,0.0,0.0,1.0,1.0
9,106,278,1.0,True,5.0,False,696.0,-1,0,0,0.0,0,696.0,697.0,0.0,1.0,102.0,0.0,1.0,1.0
10,92,304,1.0,True,1.0,True,788.0,-1,0,0,0.0,0,788.0,789.0,0.0,1.0,91.0,0.0,1.0,1.0
11,119,166,1.0,True,1.0,True,907.0,-1,0,0,0.0,0,907.0,908.0,0.0,1.0,118.0,0.0,1.0,1.0
12,115,214,1.0,True,5.0,True,1022.0,-1,0,0,0.0,0,1022.0,1023.0,0.0,1.0,114.0,0.0,1.0,1.0
13,12,451,1.0,True,1.0,True,1034.0,-1,0,0,0.0,0,1034.0,1035.0,0.0,1.0,11.0,0.0,1.0,1.0
14,78,370,1.0,True,1.0,True,1112.0,-1,0,0,0.0,0,1112.0,1113.0,0.0,1.0,77.0,0.0,1.0,1.0
15,82,141,1.0,True,1.0,True,1194.0,-1,0,0,0.0,0,1194.0,1195.0,0.0,1.0,81.0,0.0,1.0,1.0
16,8,223,1.0,True,1.0,True,1202.0,-1,0,0,0.0,0,1202.0,1203.0,0.0,1.0,7.0,0.0,1.0,1.0
17,44,58,1.0,True,1.0,True,1246.0,-1,0,0,0.0,0,1246.0,1247.0,0.0,1.0,43.0,0.0,1.0,1.0
18,24,206,1.0,True,1.0,True,1270.0,-1,0,0,0.0,0,1270.0,1271.0,0.0,1.0,23.0,0.0,1.0,1.0
19,30,42,1.0,True,1.0,True,1300.0,-1,0,0,0.0,0,1300.0,1301.0,0.0,1.0,29.0,0.0,1.0,1.0
20,32,154,216.0,True,415.0,True,1332.0,-1,0,0,0.0,0,1332.0,1548.0,0.0,216.0,31.0,0.0,1.0,1.0
21,98,287,7.0,True,27.0,True,1430.0,1,0,0,0.18,2,1549.0,1556.0,119.0,126.0,0.0,0.0,1.0,1.0
22,92,135,3312.0,True,180.0,False,1522.0,1,1,0,0.0,1,1557.0,1647.0,35.0,125.0,0.0,0.0,1.0,0.0
23,88,380,42.0,True,107.0,True,1610.0,-1,0,0,0.0,0,1648.0,1690.0,38.0,80.0,0.0,0.0,1.0,1.0
24,37,192,3598.0,False,580.0,False,1647.0,-1,1,0,0.0,1,1691.0,1837.0,44.0,190.0,0.0,0.0,1.0,0.0
25,65,128,3598.0,False,1518.0,False,1712.0,-1,1,0,0.0,0,1838.0,1957.0,126.0,245.0,0.0,0.0,1.0,0.0
27,120,89,3598.0,False,94.0,False,1957.0,-1,1,0,0.0,0,1958.0,2033.0,1.0,76.0,0.0,0.0,1.0,0.0
28,76,258,3598.0,False,407.0,True,2033.0,-1,1,0,0.0,0,2034.0,2149.0,1.0,116.0,0.0,0.0,1.0,0.0
29,116,322,82.0,True,85.0,True,2149.0,-1,0,0,0.0,0,2150.0,2232.0,1.0,83.0,0.0,0.0,1.0,1.0
26,125,151,3598.0,False,1630.0,False,1837.0,-1,0,0,0.0,1,2233.0,2233.0,396.0,396.0,0.0,0.0,0.0,0.0
30,82,43,87.0,True,614.0,False,2231.0,-1,0,0,0.0,1,2233.0,2320.0,2.0,89.0,0.0,0.0,1.0,1.0
31,108,454,75.0,True,393.0,False,2339.0,-1,0,0,0.0,0,2339.0,2414.0,0.0,75.0,19.0,0.0,1.0,1.0
32,35,237,190.0,True,28.0,True,2374.0,-1,0,0,0.0,1,2415.0,2605.0,41.0,231.0,0.0,0.0,1.0,1.0
33,54,446,512.0,True,316.0,False,2428.0,1,1,0,0.01,2,2606.0,2732.0,178.0,304.0,0.0,0.0,1.0,0.0
36,6,176,1.0,True,1.0,True,2623.0,-1,0,0,0.0,0,2733.0,2734.0,110.0,111.0,0.0,0.0,1.0,1.0
34,116,171,1400.0,True,904.0,False,2544.0,0,0,1,0.0,1,2735.0,2735.0,191.0,191.0,0.0,0.0,0.0,0.0
37,109,372,1.0,True,1.0,True,2732.0,1,0,0,0.0,2,2735.0,2736.0,3.0,4.0,0.0,0.0,1.0,1.0
35,73,414,3134.0,True,272.0,True,2617.0,1,1,0,0.0,1,2737.0,2798.0,120.0,181.0,0.0,0.0,1.0,0.0
39,60,415,1.0,True,1.0,True,2798.0,-1,0,0,0.0,0,2799.0,2800.0,1.0,2.0,0.0,0.0,1.0,1.0
38,6,285,16.0,True,208.0,True,2738.0,-1,0,0,0.0,1,2801.0,2817.0,63.0,79.0,0.0,0.0,1.0,1.0
40,84,229,1.0,True,1.0,True,2882.0,-1,0,0,0.0,0,2882.0,2883.0,0.0,1.0,65.0,0.0,1.0,1.0
41,13,434,275.0,True,73.0,True,2895.0,-1,0,0,0.0,0,2895.0,3170.0,0.0,275.0,12.0,0.0,1.0,1.0
44,89,13,1.0,True,1.0,True,3104.0,-1,0,0,0.0,3,3171.0,3171.0,67.0,67.0,0.0,0.0,0.0,0.0
45,6,49,3598.0,False,1837.0,False,3110.0,-1,0,0,0.0,1,3171.0,3171.0,61.0,61.0,0.0,0.0,0.0,0.0
43,39,424,1.0,True,1.0,True,3015.0,1,0,0,0.0,2,3171.0,3172.0,156.0,157.0,0.0,0.0,1.0,1.0
42,81,359,3598.0,False,309.0,True,2976.0,1,1,0,0.0,1,3173.0,3262.0,197.0,286.0,0.0,0.0,1.0,0.0
47,77,468,1.0,True,1.0,True,3262.0,-1,0,0,0.0,0,3263.0,3264.0,1.0,2.0,0.0,0.0,1.0,1.0
46,75,356,3598.0,False,178.0,True,3185.0,-1,1,0,0.0,1,3265.0,3298.0,80.0,113.0,0.0,0.0,1.0,0.0
48,23,343,49.0,True,253.0,True,3285.0,-1,0,0,0.0,0,3299.0,3348.0,14.0,63.0,0.0,0.0,1.0,1.0
49,13,498,3598.0,False,415.0,True,3298.0,-1,1,0,0.0,1,3349.0,3403.0,51.0,105.0,0.0,0.0,1.0,0.0
50,63,199,1.0,True,1.0,True,3361.0,-1,0,0,0.0,0,3404.0,3405.0,43.0,44.0,0.0,0.0,1.0,1.0
51,42,83,1.0,True,1.0,True,3403.0,-1,0,0,0.0,1,3406.0,3407.0,3.0,4.0,0.0,0.0,1.0,1.0
52,83,148,1.0,True,1.0,True,3486.0,-1,0,0,0.0,0,3486.0,3487.0,0.0,1.0,79.0,0.0,1.0,1.0
53,47,480,1.0,True,9.0,True,3533.0,-1,0,0,0.0,0,3533.0,3534.0,0.0,1.0,46.0,0.0,1.0,1.0
54,59,379,1.0,True,8.0,True,3592.0,-1,0,0,0.0,0,3592.0,3593.0,0.0,1.0,58.0,0.0,1.0,1.0
55,24,388,1.0,True,1.0,True,3616.0,-1,0,0,0.0,0,3616.0,3617.0,0.0,1.0,23.0,0.0,1.0,1.0
56,8,307,286.0,True,33.0,True,3624.0,-1,0,0,0.0,0,3624.0,3910.0,0.0,286.0,7.0,0.0,1.0,1.0
58,64,423,1.0,True,1.0,True,3770.0,1,0,0,0.01,4,3911.0,3912.0,141.0,142.0,0.0,0.0,1.0,1.0
59,124,238,1.0,True,1.0,True,3894.0,1,0,0,0.01,3,3913.0,3914.0,19.0,20.0,0.0,0.0,1.0,1.0
60,1,220,1.0,True,1.0,True,3895.0,1,0,0,0.01,2,3915.0,3916.0,20.0,21.0,0.0,0.0,1.0,1.0
57,82,330,1.0,True,3.0,True,3706.0,1,0,0,0.0,1,3917.0,3918.0,211.0,212.0,0.0,0.0,1.0,1.0
61,33,219,1.0,True,1.0,True,3928.0,-1,0,0,0.0,0,3928.0,3929.0,0.0,1.0,10.0,0.0,1.0,1.0
62,4,495,3598.0,False,2114.0,False,3932.0,-1,1,0,0.0,0,3932.0,4064.0,0.0,132.0,3.0,0.0,1.0,0.0
64,125,63,7.0,True,7.0,True,4064.0,-1,0,0,0.0,0,4065.0,4072.0,1.0,8.0,0.0,0.0,1.0,1.0
63,7,186,3.0,True,43.0,False,3939.0,-1,0,0,0.0,1,4073.0,4076.0,134.0,137.0,0.0,0.0,1.0,1.0
65,38,69,42.0,True,17.0,True,4102.0,-1,0,0,0.0,0,4102.0,4144.0,0.0,42.0,26.0,0.0,1.0,1.0
66,44,243,6.0,True,51.0,True,4146.0,-1,0,0,0.0,0,4146.0,4152.0,0.0,6.0,2.0,0.0,1.0,1.0
67,63,58,11.0,True,167.0,True,4209.0,-1,0,0,0.0,0,4209.0,4220.0,0.0,11.0,57.0,0.0,1.0,1.0
68,22,409,1507.0,True,379.0,True,4231.0,-1,1,0,0.0,0,4231.0,4303.0,0.0,72.0,11.0,0.0,1.0,0.0
70,6,451,37.0,True,33.0,True,4303.0,-1,0,0,0.0,0,4304.0,4341.0,1.0,38.0,0.0,0.0,1.0,1.0
69,66,372,22.0,True,53.0,True,4297.0,-1,0,0,0.0,1,4342.0,4364.0,45.0,67.0,0.0,0.0,1.0,1.0
71,115,359,5.0,True,95.0,True,4418.0,-1,0,0,0.0,0,4418.0,4423.0,0.0,5.0,54.0,0.0,1.0,1.0
72,122,307,3598.0,False,452.0,False,4540.0,-1,1,0,0.0,0,4540.0,4732.0,0.0,192.0,117.0,0.0,1.0,0.0
73,122,355,1.0,True,1.0,True,4662.0,-1,0,0,0.0,0,4733.0,4734.0,71.0,72.0,0.0,0.0,1.0,1.0
