,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime
696,16,396,1.0,True,1.0,True,46733.0
697,95,455,1.0,True,2.0,True,46828.0
698,35,263,1.0,True,1.0,True,46863.0
699,24,103,1.0,True,1.0,True,46887.0
700,128,274,3598.0,False,367.0,True,47015.0
701,24,483,1.0,True,1.0,True,47039.0
702,16,227,3598.0,False,2619.0,False,47055.0
703,27,414,230.0,True,72.0,True,47082.0
704,117,103,1.0,True,1.0,True,47199.0
705,129,370,1.0,True,1.0,True,47328.0
706,126,229,1.0,True,1.0,True,47454.0
707,81,115,1.0,True,1.0,True,47535.0
708,61,189,1.0,True,1.0,True,47596.0
709,62,56,1.0,True,1.0,True,47658.0
710,54,364,1.0,True,1.0,True,47712.0
711,68,481,3598.0,False,2450.0,False,47780.0
712,63,339,3598.0,False,2183.0,False,47843.0
713,94,308,1.0,True,1.0,True,47937.0
714,1,364,1.0,True,1.0,True,47938.0
715,55,404,1.0,True,1.0,True,47993.0
716,72,384,1.0,True,1.0,True,48065.0
717,103,44,1.0,True,1.0,True,48168.0
718,84,349,3598.0,False,838.0,False,48252.0
719,60,363,1.0,True,1.0,True,48312.0
720,11,218,1.0,True,1.0,True,48323.0
721,4,307,1.0,True,1.0,True,48327.0
722,99,257,1.0,True,1.0,True,48426.0
723,25,223,35.0,True,164.0,True,48451.0
724,121,151,4.0,True,25.0,True,48572.0
725,18,352,1.0,True,1.0,True,48590.0
726,4,203,1.0,True,1.0,True,48594.0
727,123,21,1.0,True,1.0,True,48717.0
728,126,243,1.0,True,1.0,True,48843.0
729,33,311,1.0,True,1.0,True,48876.0
730,58,258,1.0,True,1.0,True,48934.0
731,5,406,1.0,True,1.0,True,48939.0
732,114,41,1.0,True,1.0,True,49053.0
733,38,107,1.0,True,1.0,True,49091.0
734,123,386,1.0,True,1.0,True,49214.0
735,112,262,501.0,True,183.0,True,49326.0
736,99,298,254.0,True,91.0,True,49425.0
737,96,386,3598.0,False,1473.0,False,49521.0
738,76,415,27.0,True,64.0,True,49597.0
739,71,259,3598.0,False,430.0,True,49668.0
740,8,447,39.0,True,107.0,True,49676.0
741,58,337,307.0,True,99.0,True,49734.0
742,116,86,3.0,True,24.0,True,49850.0
743,5,344,1.0,True,1.0,True,49855.0
744,122,397,1.0,True,1.0,True,49977.0
745,104,410,1.0,True,45.0,True,50081.0
746,127,427,1.0,True,1.0,True,50208.0
747,67,85,1.0,True,1.0,True,50275.0
748,111,356,2229.0,True,1875.0,True,50386.0
749,25,207,1.0,True,1.0,True,50411.0
750,10,314,1.0,True,1.0,True,50421.0
751,96,162,1.0,True,1.0,True,50517.0
752,65,318,59.0,True,61.0,True,50582.0
753,91,264,1.0,True,1.0,True,50673.0
754,27,5,1.0,True,1.0,True,50700.0
755,124,152,129.0,True,205.0,True,50824.0
756,23,338,1.0,True,1.0,True,50847.0
757,96,47,1.0,True,1.0,True,50943.0
758,88,51,1.0,True,1.0,True,51031.0
759,92,474,1.0,True,1.0,True,51123.0
760,72,407,1.0,True,1.0,True,51195.0
761,40,121,3598.0,False,511.0,False,51235.0
762,35,240,1.0,True,1.0,True,51270.0
763,9,359,59.0,True,90.0,True,51279.0
764,55,290,1.0,True,1.0,True,51334.0
765,46,297,1.0,True,1.0,True,51380.0
766,29,238,1.0,True,1.0,True,51409.0
767,60,85,208.0,True,197.0,False,51469.0
768,52,401,1.0,True,1.0,True,51521.0
769,78,26,1.0,True,1.0,True,51599.0
770,113,12,1.0,True,1.0,True,51712.0
771,44,253,1.0,True,1.0,True,51756.0
772,12,5,1.0,True,1.0,True,51768.0
773,11,312,1.0,True,1.0,True,51779.0
