PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
16,174325,176041,176057,1716,1,1
402,174035,176058,176460,2023,1,1
2674,173794,176592,179266,2798,1,1
