,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime
538,24,115,43.0,True,49.0,True,35868.0
539,50,71,69.0,True,103.0,True,35918.0
540,51,152,42.0,True,49.0,True,35969.0
541,109,127,276.0,True,79.0,True,36078.0
542,24,6,230.0,True,128.0,True,36102.0
543,19,128,3598.0,False,1525.0,False,36121.0
544,106,48,47.0,True,139.0,True,36227.0
545,69,263,1525.0,True,138.0,True,36296.0
546,17,56,3598.0,False,1328.0,False,36313.0
547,15,85,3598.0,False,204.0,True,36328.0
548,15,39,3598.0,False,333.0,False,36343.0
549,53,258,8.0,True,45.0,True,36396.0
550,55,183,21.0,True,36.0,True,36451.0
551,65,61,42.0,True,234.0,False,36516.0
552,75,40,372.0,True,19.0,True,36591.0
553,83,70,2188.0,True,35.0,True,36674.0
554,2,155,128.0,True,1941.0,False,36676.0
555,124,277,3598.0,False,185.0,False,36800.0
556,100,124,1322.0,True,364.0,True,36900.0
557,68,231,34.0,True,51.0,True,36968.0
558,67,277,3598.0,False,1946.0,False,37035.0
559,76,228,42.0,True,55.0,True,37111.0
560,129,291,323.0,True,88.0,True,37240.0
561,120,129,3598.0,False,708.0,False,37360.0
562,56,184,2.0,True,12.0,True,37416.0
563,27,272,70.0,True,123.0,True,37443.0
564,70,211,3598.0,False,463.0,False,37513.0
565,84,277,30.0,True,471.0,True,37597.0
566,38,164,334.0,True,148.0,True,37635.0
567,115,123,844.0,True,332.0,True,37750.0
568,52,144,3598.0,False,349.0,True,37802.0
569,121,32,3598.0,False,1863.0,False,37923.0
570,46,78,1017.0,True,200.0,True,37969.0
571,29,192,825.0,True,369.0,True,37998.0
572,8,67,3598.0,False,375.0,True,38006.0
573,72,67,168.0,True,146.0,True,38078.0
574,119,146,3598.0,False,80.0,True,38197.0
575,88,196,480.0,True,412.0,True,38285.0
576,79,228,3598.0,False,786.0,True,38364.0
577,67,107,32.0,True,207.0,True,38431.0
578,111,1,3598.0,False,203.0,True,38542.0
579,32,253,60.0,True,147.0,True,38574.0
580,50,119,3598.0,False,224.0,True,38624.0
581,16,152,143.0,True,259.0,True,38640.0
582,31,215,3598.0,False,162.0,True,38671.0
583,89,157,1089.0,True,330.0,True,38760.0
584,36,238,1553.0,True,103.0,True,38796.0
585,44,63,3598.0,False,1203.0,False,38840.0
586,58,215,3412.0,True,377.0,True,38898.0
587,2,260,505.0,True,172.0,True,38900.0
588,36,232,3598.0,False,320.0,True,38936.0
589,21,173,139.0,True,177.0,True,38957.0
590,91,126,415.0,True,463.0,True,39048.0
591,80,208,702.0,True,237.0,True,39128.0
592,27,124,3598.0,False,210.0,True,39155.0
593,110,121,204.0,True,241.0,True,39265.0
594,61,184,3598.0,False,256.0,True,39326.0
595,61,263,50.0,True,151.0,True,39387.0
596,116,191,2028.0,True,756.0,True,39503.0
597,122,68,3598.0,False,964.0,False,39625.0
598,52,268,9.0,True,17.0,True,39677.0
599,7,265,784.0,True,2153.0,False,39684.0
600,75,92,3598.0,False,2377.0,False,39759.0
601,6,215,240.0,True,102.0,True,39765.0
602,39,245,19.0,True,22.0,True,39804.0
603,36,55,1310.0,True,1110.0,True,39840.0
604,11,273,3598.0,False,1779.0,False,39851.0
605,120,15,2938.0,True,718.0,True,39971.0
606,63,215,3598.0,False,932.0,False,40034.0
607,112,228,305.0,True,129.0,True,40146.0
608,81,28,1416.0,True,1337.0,True,40227.0
609,35,282,159.0,True,301.0,True,40262.0
610,54,14,311.0,True,296.0,True,40316.0
611,106,196,126.0,True,218.0,True,40422.0
612,66,168,19.0,True,24.0,True,40488.0
613,100,265,33.0,True,29.0,True,40588.0
614,116,29,684.0,True,395.0,True,40704.0
615,4,92,3598.0,False,1833.0,False,40708.0
616,91,111,3598.0,False,1062.0,False,40799.0
617,54,25,3598.0,False,80.0,True,40853.0
618,68,245,259.0,True,110.0,True,40921.0
619,111,116,2005.0,True,1410.0,True,41032.0
620,105,270,1387.0,True,1486.0,True,41137.0
621,115,140,17.0,True,12.0,True,41252.0
622,117,208,108.0,True,123.0,True,41369.0
623,80,169,3598.0,False,2559.0,False,41449.0
624,80,126,21.0,True,26.0,True,41529.0
625,65,191,1521.0,True,1604.0,True,41594.0
626,55,279,3598.0,False,1742.0,False,41649.0
627,101,209,86.0,True,66.0,True,41750.0
628,59,107,31.0,True,25.0,True,41809.0
629,6,234,3598.0,False,476.0,True,41815.0
630,112,181,20.0,True,52.0,True,41927.0
631,122,271,64.0,True,34.0,True,42049.0
632,6,16,2.0,True,2.0,True,42055.0
633,17,184,43.0,True,44.0,True,42072.0
634,81,176,1.0,True,4.0,True,42153.0
635,126,207,270.0,True,58.0,True,42279.0
636,114,180,139.0,True,23.0,True,42393.0
637,19,192,41.0,True,25.0,True,42412.0
638,109,85,3598.0,False,505.0,True,42521.0
639,77,28,43.0,True,23.0,True,42598.0
640,118,64,65.0,True,46.0,True,42716.0
641,96,63,93.0,True,30.0,True,42812.0
642,33,275,159.0,True,152.0,True,42845.0
643,97,14,31.0,True,93.0,True,42942.0
644,41,225,85.0,True,34.0,True,42983.0
645,87,113,41.0,True,28.0,True,43070.0
646,77,66,2286.0,True,195.0,True,43147.0
647,72,120,75.0,True,27.0,True,43219.0
648,89,75,2.0,True,5.0,True,43308.0
