,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
44,28,25,1.0,True,1.0,True,875.0,-1,0,0,0.0,7,1091.0,1091.0,216.0,216.0,0.0,0.0,0.0,0.0
45,39,28,3598.0,False,3598.0,False,914.0,-1,0,0,0.0,1,1091.0,1091.0,177.0,177.0,0.0,0.0,0.0,0.0
46,25,24,3598.0,False,3598.0,False,939.0,-1,0,0,0.0,4,1091.0,1091.0,152.0,152.0,0.0,0.0,0.0,0.0
47,33,67,1.0,True,1.0,True,972.0,-1,0,0,0.0,8,1091.0,1091.0,119.0,119.0,0.0,0.0,0.0,0.0
48,6,60,49.0,True,49.0,True,978.0,-1,0,0,0.0,5,1091.0,1091.0,113.0,113.0,0.0,0.0,0.0,0.0
49,11,72,3598.0,False,3598.0,False,989.0,-1,0,0,0.0,3,1091.0,1091.0,102.0,102.0,0.0,0.0,0.0,0.0
50,13,1,1.0,True,1.0,True,1002.0,-1,0,0,0.0,12,1091.0,1091.0,89.0,89.0,0.0,0.0,0.0,0.0
51,23,35,1.0,True,1.0,True,1025.0,-1,0,0,0.0,6,1091.0,1091.0,66.0,66.0,0.0,0.0,0.0,0.0
53,19,11,1.0,True,1.0,True,1057.0,-1,0,0,0.0,9,1091.0,1091.0,34.0,34.0,0.0,0.0,0.0,0.0
52,13,54,1.0,True,1.0,True,1038.0,1,0,0,0.01,2,1091.0,1092.0,53.0,54.0,0.0,0.0,1.0,1.0
54,19,71,1.0,True,1.0,True,1076.0,1,0,0,0.0,1,1093.0,1094.0,17.0,18.0,0.0,0.0,1.0,1.0
55,24,32,1.0,True,1.0,True,1100.0,-1,0,0,0.0,0,1100.0,1101.0,0.0,1.0,6.0,0.0,1.0,1.0
56,22,48,286.0,True,286.0,True,1122.0,-1,0,0,0.0,0,1122.0,1408.0,0.0,286.0,21.0,0.0,1.0,1.0
57,8,62,1.0,True,1.0,True,1130.0,-1,0,0,0.0,16,1409.0,1409.0,279.0,279.0,0.0,0.0,0.0,0.0
58,18,68,1.0,True,1.0,True,1148.0,-1,0,0,0.0,13,1409.0,1409.0,261.0,261.0,0.0,0.0,0.0,0.0
59,1,13,1.0,True,1.0,True,1149.0,-1,0,0,0.0,12,1409.0,1409.0,260.0,260.0,0.0,0.0,0.0,0.0
60,27,58,1.0,True,1.0,True,1176.0,-1,0,0,0.0,15,1409.0,1409.0,233.0,233.0,0.0,0.0,0.0,0.0
61,15,56,1.0,True,1.0,True,1191.0,-1,0,0,0.0,14,1409.0,1409.0,218.0,218.0,0.0,0.0,0.0,0.0
62,27,11,3598.0,False,3598.0,False,1218.0,-1,0,0,0.0,2,1409.0,1409.0,191.0,191.0,0.0,0.0,0.0,0.0
63,31,5,3.0,True,3.0,True,1249.0,-1,0,0,0.0,11,1409.0,1409.0,160.0,160.0,0.0,0.0,0.0,0.0
64,36,62,7.0,True,7.0,True,1285.0,-1,0,0,0.0,8,1409.0,1409.0,124.0,124.0,0.0,0.0,0.0,0.0
65,33,74,42.0,True,42.0,True,1318.0,-1,0,0,0.0,4,1409.0,1409.0,91.0,91.0,0.0,0.0,0.0,0.0
66,4,45,6.0,True,6.0,True,1322.0,-1,0,0,0.0,9,1409.0,1409.0,87.0,87.0,0.0,0.0,0.0,0.0
67,1,29,11.0,True,11.0,True,1323.0,-1,0,0,0.0,7,1409.0,1409.0,86.0,86.0,0.0,0.0,0.0,0.0
68,7,76,1507.0,True,1507.0,True,1330.0,-1,0,0,0.0,3,1409.0,1409.0,79.0,79.0,0.0,0.0,0.0,0.0
69,3,59,22.0,True,22.0,True,1333.0,-1,0,0,0.0,6,1409.0,1409.0,76.0,76.0,0.0,0.0,0.0,0.0
70,38,6,37.0,True,37.0,True,1371.0,-1,0,0,0.0,5,1409.0,1409.0,38.0,38.0,0.0,0.0,0.0,0.0
71,9,8,5.0,True,5.0,True,1380.0,-1,0,0,0.0,10,1409.0,1409.0,29.0,29.0,0.0,0.0,0.0,0.0
72,23,32,3598.0,False,3598.0,False,1403.0,-1,0,0,0.0,1,1409.0,5007.0,6.0,3604.0,0.0,0.0,1.0,0.0
73,22,6,1.0,True,1.0,True,1425.0,-1,0,0,0.0,182,5008.0,5008.0,3583.0,3583.0,0.0,0.0,0.0,0.0
74,2,64,3.0,True,3.0,True,1427.0,-1,0,0,0.0,126,5008.0,5008.0,3581.0,3581.0,0.0,0.0,0.0,0.0
75,33,57,14.0,True,14.0,True,1460.0,-1,0,0,0.0,104,5008.0,5008.0,3548.0,3548.0,0.0,0.0,0.0,0.0
76,6,70,36.0,True,36.0,True,1466.0,-1,0,0,0.0,93,5008.0,5008.0,3542.0,3542.0,0.0,0.0,0.0,0.0
77,21,43,62.0,True,62.0,True,1487.0,-1,0,0,0.0,86,5008.0,5008.0,3521.0,3521.0,0.0,0.0,0.0,0.0
78,8,12,2.0,True,2.0,True,1495.0,-1,0,0,0.0,136,5008.0,5008.0,3513.0,3513.0,0.0,0.0,0.0,0.0
79,6,20,5.0,True,5.0,True,1501.0,-1,0,0,0.0,117,5008.0,5008.0,3507.0,3507.0,0.0,0.0,0.0,0.0
80,19,31,4.0,True,4.0,True,1520.0,-1,0,0,0.0,123,5008.0,5008.0,3488.0,3488.0,0.0,0.0,0.0,0.0
81,9,77,10.0,True,10.0,True,1529.0,-1,0,0,0.0,108,5008.0,5008.0,3479.0,3479.0,0.0,0.0,0.0,0.0
82,12,61,3598.0,False,3598.0,False,1541.0,-1,0,0,0.0,11,5008.0,5008.0,3467.0,3467.0,0.0,0.0,0.0,0.0
83,19,3,85.0,True,85.0,True,1560.0,-1,0,0,0.0,80,5008.0,5008.0,3448.0,3448.0,0.0,0.0,0.0,0.0
84,6,12,154.0,True,154.0,True,1566.0,-1,0,0,0.0,72,5008.0,5008.0,3442.0,3442.0,0.0,0.0,0.0,0.0
