,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
535,9,84,65.0,True,58.0,True,10858.0,224,11409.0,11409.0,551.0,551.0,0.0,0.0,0.0,0.0
387,38,17,14.0,True,71.0,True,7912.0,223,11410.0,11410.0,3498.0,3498.0,0.0,0.0,0.0,0.0
399,7,85,15.0,True,71.0,True,8148.0,222,11411.0,11411.0,3263.0,3263.0,0.0,0.0,0.0,0.0
477,13,10,23.0,True,72.0,True,9614.0,221,11412.0,11412.0,1798.0,1798.0,0.0,0.0,0.0,0.0
439,37,32,52.0,True,75.0,True,8924.0,220,11413.0,11413.0,2489.0,2489.0,0.0,0.0,0.0,0.0
389,35,13,2450.0,True,78.0,True,7957.0,220,11414.0,11414.0,3457.0,3457.0,0.0,0.0,0.0,0.0
544,23,64,47.0,True,91.0,True,11017.0,219,11415.0,11415.0,398.0,398.0,0.0,0.0,0.0,0.0
563,32,24,70.0,True,91.0,True,11413.0,218,11416.0,11486.0,3.0,73.0,0.0,0.0,1.0,1.0
459,31,57,29.0,True,95.0,True,9257.0,220,11487.0,11487.0,2230.0,2230.0,0.0,0.0,0.0,0.0
565,31,8,30.0,True,95.0,True,11469.0,219,11488.0,11488.0,19.0,19.0,0.0,0.0,0.0,0.0
400,22,53,23.0,True,104.0,True,8170.0,218,11489.0,11489.0,3319.0,3319.0,0.0,0.0,0.0,0.0
462,36,57,2033.0,True,107.0,True,9310.0,217,11490.0,11490.0,2180.0,2180.0,0.0,0.0,0.0,0.0
483,12,73,2667.0,True,109.0,True,9721.0,216,11491.0,11491.0,1770.0,1770.0,0.0,0.0,0.0,0.0
498,38,48,26.0,True,121.0,True,10089.0,215,11492.0,11492.0,1403.0,1403.0,0.0,0.0,0.0,0.0
388,10,39,48.0,True,121.0,True,7922.0,214,11493.0,11493.0,3571.0,3571.0,0.0,0.0,0.0,0.0
395,5,74,161.0,True,124.0,True,8054.0,213,11494.0,11494.0,3440.0,3440.0,0.0,0.0,0.0,0.0
501,15,76,206.0,True,131.0,True,10140.0,212,11495.0,11495.0,1355.0,1355.0,0.0,0.0,0.0,0.0
491,21,70,189.0,True,131.0,True,9899.0,211,11496.0,11496.0,1597.0,1597.0,0.0,0.0,0.0,0.0
392,14,83,3598.0,False,139.0,True,8019.0,210,11497.0,11497.0,3478.0,3478.0,0.0,0.0,0.0,0.0
536,35,15,143.0,True,141.0,True,10893.0,209,11498.0,11498.0,605.0,605.0,0.0,0.0,0.0,0.0
497,30,82,307.0,True,142.0,True,10051.0,208,11499.0,11499.0,1448.0,1448.0,0.0,0.0,0.0,0.0
487,34,63,212.0,True,142.0,True,9831.0,207,11500.0,11500.0,1669.0,1669.0,0.0,0.0,0.0,0.0
522,28,7,5.0,True,148.0,True,10597.0,206,11501.0,11501.0,904.0,904.0,0.0,0.0,0.0,0.0
499,19,36,188.0,True,148.0,True,10108.0,205,11502.0,11502.0,1394.0,1394.0,0.0,0.0,0.0,0.0
489,2,19,245.0,True,148.0,True,9855.0,204,11503.0,11503.0,1648.0,1648.0,0.0,0.0,0.0,0.0
479,21,79,136.0,True,148.0,True,9657.0,203,11504.0,11504.0,1847.0,1847.0,0.0,0.0,0.0,0.0
391,20,58,470.0,True,150.0,False,8005.0,202,11505.0,11505.0,3500.0,3500.0,0.0,0.0,0.0,0.0
504,1,14,223.0,True,158.0,True,10192.0,201,11506.0,11506.0,1314.0,1314.0,0.0,0.0,0.0,0.0
494,26,63,429.0,True,158.0,True,9975.0,200,11507.0,11507.0,1532.0,1532.0,0.0,0.0,0.0,0.0
484,23,2,173.0,True,158.0,True,9744.0,199,11508.0,11508.0,1764.0,1764.0,0.0,0.0,0.0,0.0
452,3,34,185.0,True,159.0,True,9106.0,198,11509.0,11509.0,2403.0,2403.0,0.0,0.0,0.0,0.0
401,18,21,1754.0,True,164.0,True,8188.0,197,11510.0,11510.0,3322.0,3322.0,0.0,0.0,0.0,0.0
542,37,16,230.0,True,166.0,True,10981.0,196,11511.0,11511.0,530.0,530.0,0.0,0.0,0.0,0.0
560,12,1,323.0,True,173.0,True,11330.0,195,11512.0,11512.0,182.0,182.0,0.0,0.0,0.0,0.0
541,13,72,276.0,True,173.0,True,10944.0,194,11513.0,11513.0,569.0,569.0,0.0,0.0,0.0,0.0
545,18,63,1525.0,True,177.0,True,11035.0,193,11514.0,11514.0,479.0,479.0,0.0,0.0,0.0,0.0
507,14,7,509.0,True,177.0,True,10252.0,192,11515.0,11515.0,1263.0,1263.0,0.0,0.0,0.0,0.0
564,25,44,3598.0,False,178.0,False,11438.0,191,11516.0,11516.0,78.0,78.0,0.0,0.0,0.0,0.0
505,34,70,649.0,True,178.0,True,10226.0,190,11517.0,11517.0,1291.0,1291.0,0.0,0.0,0.0,0.0
