,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
335,20,22,3598.0,False,784.0,True,13051.0,76,18588.0,18588.0,5537.0,5537.0,0.0,0.0,0.0,0.0
382,35,28,3598.0,False,830.0,False,14800.0,75,18589.0,18589.0,3789.0,3789.0,0.0,0.0,0.0,0.0
451,16,17,3598.0,False,830.0,False,18015.0,74,18590.0,18590.0,575.0,575.0,0.0,0.0,0.0,0.0
328,13,25,3598.0,False,865.0,True,12855.0,73,18591.0,18591.0,5736.0,5736.0,0.0,0.0,0.0,0.0
341,31,24,3598.0,False,913.0,False,13271.0,72,18592.0,18592.0,5321.0,5321.0,0.0,0.0,0.0,0.0
450,41,8,3598.0,False,923.0,False,17999.0,71,18593.0,18593.0,594.0,594.0,0.0,0.0,0.0,0.0
326,60,5,138.0,True,1000.0,True,12839.0,70,18594.0,18594.0,5755.0,5755.0,0.0,0.0,0.0,0.0
443,36,29,3598.0,False,1026.0,False,17641.0,69,18595.0,18595.0,954.0,954.0,0.0,0.0,0.0,0.0
441,54,20,3598.0,False,1026.0,False,17545.0,68,18596.0,18596.0,1051.0,1051.0,0.0,0.0,0.0,0.0
446,51,16,3598.0,False,1029.0,False,17807.0,67,18597.0,18597.0,790.0,790.0,0.0,0.0,0.0,0.0
302,43,4,1368.0,True,1087.0,True,11825.0,66,18598.0,18598.0,6773.0,6773.0,0.0,0.0,0.0,0.0
286,33,20,3598.0,False,1100.0,False,11112.0,65,18599.0,18599.0,7487.0,7487.0,0.0,0.0,0.0,0.0
364,44,4,3598.0,False,1107.0,False,14088.0,64,18600.0,18600.0,4512.0,4512.0,0.0,0.0,0.0,0.0
348,48,14,3598.0,False,1128.0,False,13584.0,63,18601.0,18601.0,5017.0,5017.0,0.0,0.0,0.0,0.0
330,32,27,3598.0,False,1167.0,True,12905.0,62,18602.0,18602.0,5697.0,5697.0,0.0,0.0,0.0,0.0
345,50,18,3000.0,True,1194.0,True,13483.0,61,18603.0,18603.0,5120.0,5120.0,0.0,0.0,0.0,0.0
351,22,4,3598.0,False,1200.0,False,13675.0,60,18604.0,18604.0,4929.0,4929.0,0.0,0.0,0.0,0.0
417,60,18,3598.0,False,1214.0,False,16540.0,59,18605.0,18605.0,2065.0,2065.0,0.0,0.0,0.0,0.0
449,30,3,3598.0,False,1222.0,False,17958.0,58,18606.0,18606.0,648.0,648.0,0.0,0.0,0.0,0.0
317,22,7,3598.0,False,1274.0,False,12379.0,57,18607.0,18607.0,6228.0,6228.0,0.0,0.0,0.0,0.0
447,54,20,3598.0,False,1307.0,False,17861.0,56,18608.0,18608.0,747.0,747.0,0.0,0.0,0.0,0.0
445,40,4,3598.0,False,1313.0,False,17756.0,55,18609.0,18609.0,853.0,853.0,0.0,0.0,0.0,0.0
438,68,28,3007.0,True,1316.0,True,17371.0,54,18610.0,18610.0,1239.0,1239.0,0.0,0.0,0.0,0.0
310,7,26,3598.0,False,1322.0,False,12126.0,53,18611.0,18611.0,6485.0,6485.0,0.0,0.0,0.0,0.0
332,13,24,3598.0,False,1416.0,False,12960.0,52,18612.0,18612.0,5652.0,5652.0,0.0,0.0,0.0,0.0
295,21,20,1262.0,True,1459.0,True,11473.0,51,18613.0,18613.0,7140.0,7140.0,0.0,0.0,0.0,0.0
290,39,7,1459.0,True,1525.0,True,11271.0,50,18614.0,18614.0,7343.0,7343.0,0.0,0.0,0.0,0.0
457,36,15,3598.0,False,1571.0,False,18111.0,49,18615.0,18615.0,504.0,504.0,0.0,0.0,0.0,0.0
280,74,2,3598.0,False,1607.0,False,10776.0,48,18616.0,18616.0,7840.0,7840.0,0.0,0.0,0.0,0.0
311,30,5,3598.0,False,1649.0,False,12156.0,47,18617.0,18617.0,6461.0,6461.0,0.0,0.0,0.0,0.0
320,51,23,56.0,True,1656.0,False,12513.0,46,18618.0,18618.0,6105.0,6105.0,0.0,0.0,0.0,0.0
338,14,2,3598.0,False,1683.0,False,13167.0,45,18619.0,18619.0,5452.0,5452.0,0.0,0.0,0.0,0.0
436,64,17,3598.0,False,1837.0,False,17290.0,44,18620.0,18620.0,1330.0,1330.0,0.0,0.0,0.0,0.0
319,10,3,3598.0,False,1854.0,False,12462.0,43,18621.0,18621.0,6159.0,6159.0,0.0,0.0,0.0,0.0
412,21,19,3598.0,False,1941.0,False,16236.0,42,18622.0,18622.0,2386.0,2386.0,0.0,0.0,0.0,0.0
334,25,5,2643.0,True,1950.0,True,13031.0,41,18623.0,18623.0,5592.0,5592.0,0.0,0.0,0.0,0.0
