,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,Stopped,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
47,19,27,1.0,True,1.0,True,1623.0,0,4,1664.0,1664.0,41.0,41.0,0.0,0.0,0.0,0.0
46,42,4,3598.0,False,178.0,True,1604.0,0,3,1665.0,1665.0,61.0,61.0,0.0,0.0,0.0,0.0
42,77,15,3598.0,False,309.0,True,1463.0,0,2,1666.0,1666.0,203.0,203.0,0.0,0.0,0.0,0.0
45,63,4,3598.0,False,1837.0,False,1562.0,0,1,1667.0,1667.0,105.0,105.0,0.0,0.0,0.0,0.0
48,51,29,49.0,True,253.0,True,1674.0,0,0,1674.0,1723.0,0.0,49.0,7.0,0.0,1.0,1.0
49,58,27,3598.0,False,415.0,True,1732.0,1,0,1732.0,2002.0,0.0,270.0,9.0,0.0,1.0,0.0
50,47,1,1.0,True,1.0,True,1779.0,0,0,2003.0,2003.0,224.0,224.0,0.0,0.0,0.0,0.0
55,64,28,1.0,True,1.0,True,1956.0,0,0,2004.0,2004.0,48.0,48.0,0.0,0.0,0.0,0.0
52,24,15,1.0,True,1.0,True,1862.0,0,0,2005.0,2005.0,143.0,143.0,0.0,0.0,0.0,0.0
51,59,4,1.0,True,1.0,True,1838.0,0,0,2006.0,2006.0,168.0,168.0,0.0,0.0,0.0,0.0
57,45,3,1.0,True,3.0,True,2002.0,0,0,2007.0,2007.0,5.0,5.0,0.0,0.0,0.0,0.0
54,8,29,1.0,True,8.0,True,1892.0,0,0,2008.0,2008.0,116.0,116.0,0.0,0.0,0.0,0.0
53,22,25,1.0,True,9.0,True,1884.0,0,0,2009.0,2009.0,125.0,125.0,0.0,0.0,0.0,0.0
56,1,24,286.0,True,33.0,True,1957.0,0,0,2010.0,2010.0,53.0,53.0,0.0,0.0,0.0,0.0
58,58,1,1.0,True,1.0,True,2060.0,0,0,2060.0,2061.0,0.0,1.0,50.0,0.0,1.0,1.0
59,15,28,1.0,True,1.0,True,2075.0,0,0,2075.0,2076.0,0.0,1.0,14.0,0.0,1.0,1.0
60,27,8,1.0,True,1.0,True,2102.0,0,0,2102.0,2103.0,0.0,1.0,26.0,0.0,1.0,1.0
61,44,27,1.0,True,1.0,True,2146.0,0,0,2146.0,2147.0,0.0,1.0,43.0,0.0,1.0,1.0
62,31,1,3598.0,False,2114.0,False,2177.0,0,0,2177.0,2177.0,0.0,1.0,30.0,0.0,0.0,0.0
63,33,3,3.0,True,43.0,False,2210.0,0,0,2210.0,2210.0,0.0,1.0,33.0,0.0,0.0,0.0
64,4,22,7.0,True,7.0,True,2214.0,0,0,2214.0,2221.0,0.0,7.0,4.0,0.0,1.0,1.0
65,65,11,42.0,True,17.0,True,2279.0,0,0,2279.0,2321.0,0.0,42.0,58.0,0.0,1.0,1.0
66,7,7,6.0,True,51.0,True,2286.0,0,1,2322.0,2322.0,36.0,36.0,0.0,0.0,0.0,0.0
67,67,8,11.0,True,167.0,True,2353.0,0,0,2353.0,2364.0,0.0,11.0,31.0,0.0,1.0,1.0
68,50,16,1507.0,True,379.0,True,2403.0,1,0,2403.0,2778.0,0.0,375.0,39.0,0.0,1.0,0.0
73,22,26,1.0,True,1.0,True,2643.0,0,0,2779.0,2779.0,136.0,136.0,0.0,0.0,0.0,0.0
70,73,3,37.0,True,33.0,True,2514.0,0,0,2780.0,2780.0,266.0,266.0,0.0,0.0,0.0,0.0
69,38,11,22.0,True,53.0,True,2441.0,0,0,2781.0,2781.0,340.0,340.0,0.0,0.0,0.0,0.0
74,66,24,3.0,True,62.0,True,2709.0,0,0,2782.0,2782.0,73.0,73.0,0.0,0.0,0.0,0.0
76,63,7,36.0,True,78.0,True,2778.0,0,0,2783.0,2819.0,5.0,41.0,0.0,0.0,1.0,1.0
75,6,11,14.0,True,78.0,True,2715.0,0,3,2820.0,2820.0,105.0,105.0,0.0,0.0,0.0,0.0
71,44,4,5.0,True,95.0,True,2558.0,0,2,2821.0,2821.0,263.0,263.0,0.0,0.0,0.0,0.0
72,63,13,3598.0,False,452.0,False,2621.0,0,1,2822.0,2822.0,201.0,201.0,0.0,0.0,0.0,0.0
77,72,5,62.0,True,106.0,True,2850.0,0,0,2850.0,2912.0,0.0,62.0,28.0,0.0,1.0,1.0
78,70,29,2.0,True,21.0,True,2920.0,0,0,2920.0,2922.0,0.0,2.0,8.0,0.0,1.0,1.0
79,46,29,5.0,True,12.0,True,2966.0,0,0,2966.0,2971.0,0.0,5.0,44.0,0.0,1.0,1.0
80,19,27,4.0,True,25.0,True,2985.0,0,0,2985.0,2989.0,0.0,4.0,14.0,0.0,1.0,1.0
81,73,10,10.0,True,21.0,True,3058.0,0,0,3058.0,3068.0,0.0,10.0,69.0,0.0,1.0,1.0
82,76,28,3598.0,False,836.0,False,3134.0,0,0,3134.0,3134.0,0.0,1.0,66.0,0.0,0.0,0.0
83,19,19,85.0,True,101.0,True,3153.0,0,0,3153.0,3238.0,0.0,85.0,19.0,0.0,1.0,1.0
85,61,10,1.0,True,10.0,True,3220.0,0,2,3239.0,3239.0,19.0,19.0,0.0,0.0,0.0,0.0
84,6,13,154.0,True,158.0,True,3159.0,0,1,3240.0,3240.0,81.0,81.0,0.0,0.0,0.0,0.0
86,38,29,3.0,True,30.0,True,3258.0,0,0,3258.0,3261.0,0.0,3.0,18.0,0.0,1.0,1.0
87,10,12,32.0,True,140.0,True,3268.0,0,0,3268.0,3300.0,0.0,32.0,7.0,0.0,1.0,1.0
88,66,27,3.0,True,30.0,True,3334.0,0,0,3334.0,3337.0,0.0,3.0,34.0,0.0,1.0,1.0
89,47,6,1726.0,True,994.0,True,3381.0,1,0,3381.0,3647.0,0.0,266.0,44.0,0.0,1.0,0.0
90,26,8,1.0,True,1.0,True,3407.0,0,0,3648.0,3648.0,241.0,241.0,0.0,0.0,0.0,0.0
91,44,6,1.0,True,1.0,True,3451.0,0,0,3649.0,3649.0,198.0,198.0,0.0,0.0,0.0,0.0
94,9,11,1.0,True,1.0,True,3603.0,0,0,3650.0,3650.0,47.0,47.0,0.0,0.0,0.0,0.0
93,78,6,1.0,True,1.0,True,3594.0,0,0,3651.0,3651.0,57.0,57.0,0.0,0.0,0.0,0.0
92,65,25,1.0,True,1.0,True,3516.0,0,0,3652.0,3652.0,136.0,136.0,0.0,0.0,0.0,0.0
95,9,12,1.0,True,2.0,True,3612.0,0,0,3653.0,3653.0,41.0,41.0,0.0,0.0,0.0,0.0
96,19,20,1.0,True,58.0,False,3631.0,0,0,3654.0,3654.0,23.0,23.0,0.0,0.0,0.0,0.0
97,16,13,7.0,True,111.0,True,3647.0,0,0,3655.0,3662.0,8.0,15.0,0.0,0.0,1.0,1.0
98,33,13,70.0,True,623.0,False,3680.0,0,0,3680.0,3680.0,0.0,1.0,18.0,0.0,0.0,0.0
99,70,22,1.0,True,2.0,True,3750.0,0,0,3750.0,3751.0,0.0,1.0,70.0,0.0,1.0,1.0
100,29,29,17.0,True,58.0,True,3779.0,0,0,3779.0,3796.0,0.0,17.0,28.0,0.0,1.0,1.0
102,5,12,1.0,True,1.0,True,3792.0,0,2,3797.0,3798.0,5.0,6.0,0.0,0.0,1.0,1.0
101,8,3,1.0,True,19.0,True,3787.0,0,1,3799.0,3799.0,12.0,12.0,0.0,0.0,0.0,0.0
103,40,16,1.0,True,1.0,True,3832.0,0,0,3832.0,3833.0,0.0,1.0,33.0,0.0,1.0,1.0
104,4,3,35.0,True,95.0,True,3836.0,0,0,3836.0,3871.0,0.0,35.0,3.0,0.0,1.0,1.0
105,33,20,24.0,True,5.0,True,3869.0,0,1,3872.0,3896.0,3.0,27.0,0.0,0.0,1.0,1.0
106,14,14,1.0,True,13.0,True,3883.0,0,1,3897.0,3897.0,14.0,14.0,0.0,0.0,0.0,0.0
107,66,6,70.0,True,381.0,True,3949.0,0,0,3949.0,4019.0,0.0,70.0,52.0,0.0,1.0,1.0
108,26,9,3598.0,False,609.0,False,3975.0,0,1,4020.0,4020.0,45.0,45.0,0.0,0.0,0.0,0.0
109,45,5,1.0,True,1.0,True,4020.0,0,1,4021.0,4022.0,1.0,2.0,0.0,0.0,1.0,1.0
110,6,14,31.0,True,413.0,True,4026.0,0,0,4026.0,4057.0,0.0,31.0,4.0,0.0,1.0,1.0
111,3,6,3598.0,False,1932.0,False,4029.0,0,1,4058.0,4058.0,29.0,29.0,0.0,0.0,0.0,0.0
112,49,25,1.0,True,1.0,True,4078.0,0,0,4078.0,4079.0,0.0,1.0,20.0,0.0,1.0,1.0
113,42,25,1.0,True,1.0,True,4120.0,0,0,4120.0,4121.0,0.0,1.0,41.0,0.0,1.0,1.0
114,36,22,1.0,True,1.0,True,4156.0,0,0,4156.0,4157.0,0.0,1.0,35.0,0.0,1.0,1.0
115,6,10,1.0,True,1.0,True,4162.0,0,0,4162.0,4163.0,0.0,1.0,5.0,0.0,1.0,1.0
116,52,11,1.0,True,1.0,True,4214.0,0,0,4214.0,4215.0,0.0,1.0,51.0,0.0,1.0,1.0
117,25,14,3598.0,False,296.0,False,4239.0,0,0,4239.0,4239.0,0.0,1.0,24.0,0.0,0.0,0.0
118,79,22,1.0,True,1.0,True,4318.0,0,0,4318.0,4319.0,0.0,1.0,79.0,0.0,1.0,1.0
119,62,15,1.0,True,3.0,True,4380.0,0,0,4380.0,4381.0,0.0,1.0,61.0,0.0,1.0,1.0
120,43,24,1.0,True,2.0,True,4423.0,0,0,4423.0,4424.0,0.0,1.0,42.0,0.0,1.0,1.0
121,25,20,1.0,True,1.0,True,4448.0,0,0,4448.0,4449.0,0.0,1.0,24.0,0.0,1.0,1.0
122,13,6,7.0,True,67.0,True,4461.0,0,0,4461.0,4468.0,0.0,7.0,12.0,0.0,1.0,1.0
123,12,5,3.0,True,68.0,True,4473.0,0,0,4473.0,4476.0,0.0,3.0,5.0,0.0,1.0,1.0
124,56,19,1493.0,True,289.0,True,4529.0,1,0,4529.0,4958.0,0.0,429.0,53.0,0.0,1.0,0.0
128,60,9,1.0,True,1.0,True,4749.0,0,0,4959.0,4959.0,210.0,210.0,0.0,0.0,0.0,0.0
129,78,18,1.0,True,1.0,True,4827.0,0,0,4960.0,4960.0,133.0,133.0,0.0,0.0,0.0,0.0
