PredictedServiceTime,ArrivalTime,MIPPredictedTimeServiceBegins,MIPPredictedTimeServiceEnds,MIPWaitingTimeInQueue,MIPAttended,MIPVM
308,33304,33327,33635,23,1,1
1711,33325,33636,33636,311,0,1
