,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
38,28,21,16.0,True,116.0,True,1266.0,-1,0,0,0.0,0,1266.0,1282.0,0.0,16.0,27.0,0.0,1.0,1.0
39,39,21,1.0,True,1.0,True,1305.0,-1,0,0,0.0,0,1305.0,1306.0,0.0,1.0,23.0,0.0,1.0,1.0
40,6,24,1.0,True,1.0,True,1311.0,-1,0,0,0.0,0,1311.0,1312.0,0.0,1.0,5.0,0.0,1.0,1.0
41,75,18,275.0,True,148.0,True,1386.0,-1,0,0,0.0,0,1386.0,1661.0,0.0,275.0,74.0,0.0,1.0,1.0
42,77,15,3598.0,False,416.0,False,1463.0,-1,0,0,0.0,3,1662.0,1662.0,199.0,199.0,0.0,0.0,0.0,0.0
43,23,6,1.0,True,14.0,True,1486.0,-1,0,0,0.0,4,1662.0,1662.0,176.0,176.0,0.0,0.0,0.0,0.0
44,13,3,1.0,True,1.0,True,1499.0,-1,0,0,0.0,6,1662.0,1662.0,163.0,163.0,0.0,0.0,0.0,0.0
45,63,4,3598.0,False,1871.0,False,1562.0,-1,0,0,0.0,1,1662.0,1662.0,100.0,100.0,0.0,0.0,0.0,0.0
46,42,4,3598.0,False,497.0,True,1604.0,-1,0,0,0.0,2,1662.0,1662.0,58.0,58.0,0.0,0.0,0.0,0.0
47,19,27,1.0,True,1.0,True,1623.0,-1,0,0,0.0,5,1662.0,1662.0,39.0,39.0,0.0,0.0,0.0,0.0
48,51,29,49.0,True,233.0,True,1674.0,-1,0,0,0.0,0,1674.0,1723.0,0.0,49.0,13.0,0.0,1.0,1.0
49,58,27,3598.0,False,416.0,False,1732.0,-1,0,0,0.0,0,1732.0,1732.0,0.0,1.0,9.0,0.0,0.0,0.0
50,47,1,1.0,True,1.0,True,1779.0,-1,0,0,0.0,0,1779.0,1780.0,0.0,1.0,47.0,0.0,1.0,1.0
51,59,4,1.0,True,6.0,True,1838.0,-1,0,0,0.0,0,1838.0,1839.0,0.0,1.0,58.0,0.0,1.0,1.0
52,24,15,1.0,True,40.0,True,1862.0,-1,0,0,0.0,0,1862.0,1863.0,0.0,1.0,23.0,0.0,1.0,1.0
53,22,25,1.0,True,70.0,True,1884.0,-1,0,0,0.0,0,1884.0,1885.0,0.0,1.0,21.0,0.0,1.0,1.0
54,8,29,1.0,True,24.0,True,1892.0,-1,0,0,0.0,0,1892.0,1893.0,0.0,1.0,7.0,0.0,1.0,1.0
55,64,28,1.0,True,1.0,True,1956.0,-1,0,0,0.0,0,1956.0,1957.0,0.0,1.0,63.0,0.0,1.0,1.0
56,1,24,286.0,True,42.0,True,1957.0,-1,0,0,0.0,1,1958.0,2244.0,1.0,287.0,0.0,0.0,1.0,1.0
57,45,3,1.0,True,106.0,True,2002.0,-1,0,0,0.0,3,2245.0,2245.0,243.0,243.0,0.0,0.0,0.0,0.0
58,58,1,1.0,True,1.0,True,2060.0,-1,0,0,0.0,8,2245.0,2245.0,185.0,185.0,0.0,0.0,0.0,0.0
59,15,28,1.0,True,1.0,True,2075.0,-1,0,0,0.0,7,2245.0,2245.0,170.0,170.0,0.0,0.0,0.0,0.0
60,27,8,1.0,True,1.0,True,2102.0,-1,0,0,0.0,5,2245.0,2245.0,143.0,143.0,0.0,0.0,0.0,0.0
61,44,27,1.0,True,1.0,True,2146.0,-1,0,0,0.0,6,2245.0,2245.0,99.0,99.0,0.0,0.0,0.0,0.0
62,31,1,3598.0,False,1714.0,False,2177.0,-1,0,0,0.0,1,2245.0,2245.0,68.0,68.0,0.0,0.0,0.0,0.0
63,33,3,3.0,True,1334.0,False,2210.0,-1,0,0,0.0,2,2245.0,2245.0,35.0,35.0,0.0,0.0,0.0,0.0
64,4,22,7.0,True,50.0,True,2214.0,-1,0,0,0.0,4,2245.0,2245.0,31.0,31.0,0.0,0.0,0.0,0.0
65,65,11,42.0,True,42.0,True,2279.0,-1,0,0,0.0,0,2279.0,2321.0,0.0,42.0,35.0,0.0,1.0,1.0
66,7,7,6.0,True,32.0,True,2286.0,-1,0,0,0.0,1,2322.0,2322.0,36.0,36.0,0.0,0.0,0.0,0.0
67,67,8,11.0,True,133.0,True,2353.0,-1,0,0,0.0,0,2353.0,2364.0,0.0,11.0,32.0,0.0,1.0,1.0
68,50,16,1507.0,True,272.0,True,2403.0,-1,1,0,0.0,0,2403.0,2850.0,0.0,447.0,39.0,0.0,1.0,0.0
75,6,11,14.0,True,4.0,True,2715.0,-1,0,0,0.0,0,2851.0,2851.0,136.0,136.0,0.0,0.0,0.0,0.0
74,66,24,3.0,True,5.0,True,2709.0,-1,0,0,0.0,0,2852.0,2852.0,143.0,143.0,0.0,0.0,0.0,0.0
73,22,26,1.0,True,12.0,True,2643.0,-1,0,0,0.0,0,2853.0,2853.0,210.0,210.0,0.0,0.0,0.0,0.0
71,44,4,5.0,True,13.0,True,2558.0,-1,0,0,0.0,0,2854.0,2854.0,296.0,296.0,0.0,0.0,0.0,0.0
76,63,7,36.0,True,18.0,True,2778.0,-1,0,0,0.0,0,2855.0,2855.0,77.0,77.0,0.0,0.0,0.0,0.0
77,72,5,62.0,True,36.0,True,2850.0,-1,0,0,0.0,0,2856.0,2856.0,6.0,6.0,0.0,0.0,0.0,0.0
69,38,11,22.0,True,58.0,True,2441.0,-1,0,0,0.0,0,2857.0,2857.0,416.0,416.0,0.0,0.0,0.0,0.0
70,73,3,37.0,True,495.0,True,2514.0,-1,0,0,0.0,0,2858.0,2858.0,344.0,344.0,0.0,0.0,0.0,0.0
72,63,13,3598.0,False,1672.0,False,2621.0,-1,0,0,0.0,0,2859.0,2859.0,238.0,238.0,0.0,0.0,0.0,0.0
78,70,29,2.0,True,75.0,True,2920.0,-1,0,0,0.0,0,2920.0,2922.0,0.0,2.0,61.0,0.0,1.0,1.0
79,46,29,5.0,True,31.0,True,2966.0,-1,0,0,0.0,0,2966.0,2971.0,0.0,5.0,44.0,0.0,1.0,1.0
80,19,27,4.0,True,57.0,True,2985.0,-1,0,0,0.0,0,2985.0,2989.0,0.0,4.0,14.0,0.0,1.0,1.0
81,73,10,10.0,True,108.0,True,3058.0,-1,0,0,0.0,0,3058.0,3068.0,0.0,10.0,69.0,0.0,1.0,1.0
82,76,28,3598.0,False,1117.0,False,3134.0,-1,0,0,0.0,0,3134.0,3134.0,0.0,1.0,66.0,0.0,0.0,0.0
83,19,19,85.0,True,91.0,True,3153.0,-1,0,0,0.0,0,3153.0,3238.0,0.0,85.0,19.0,0.0,1.0,1.0
84,6,13,154.0,True,141.0,True,3159.0,-1,0,0,0.0,1,3239.0,3239.0,80.0,80.0,0.0,0.0,0.0,0.0
85,61,10,1.0,True,56.0,True,3220.0,-1,0,0,0.0,2,3239.0,3239.0,19.0,19.0,0.0,0.0,0.0,0.0
86,38,29,3.0,True,77.0,True,3258.0,-1,0,0,0.0,0,3258.0,3261.0,0.0,3.0,20.0,0.0,1.0,1.0
87,10,12,32.0,True,22.0,True,3268.0,-1,0,0,0.0,0,3268.0,3300.0,0.0,32.0,7.0,0.0,1.0,1.0
88,66,27,3.0,True,33.0,True,3334.0,-1,0,0,0.0,0,3334.0,3337.0,0.0,3.0,34.0,0.0,1.0,1.0
