,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
185,39,21,1.0,True,1.0,True,7128.0,71,7855.0,7855.0,727.0,727.0,0.0,0.0,0.0,0.0
186,62,6,1.0,True,1.0,True,7190.0,70,7856.0,7856.0,666.0,666.0,0.0,0.0,0.0,0.0
176,8,23,2.0,True,2.0,True,6704.0,69,7857.0,7857.0,1153.0,1153.0,0.0,0.0,0.0,0.0
168,35,4,2.0,True,2.0,True,6371.0,68,7858.0,7858.0,1487.0,1487.0,0.0,0.0,0.0,0.0
164,18,11,2.0,True,2.0,True,6169.0,67,7859.0,7859.0,1690.0,1690.0,0.0,0.0,0.0,0.0
139,57,17,2.0,True,2.0,True,5193.0,66,7860.0,7860.0,2667.0,2667.0,0.0,0.0,0.0,0.0
138,27,21,2.0,True,2.0,True,5136.0,65,7861.0,7861.0,2725.0,2725.0,0.0,0.0,0.0,0.0
201,15,20,2.0,True,2.0,True,7636.0,64,7862.0,7862.0,226.0,226.0,0.0,0.0,0.0,0.0
135,26,19,2.0,True,2.0,True,4984.0,63,7863.0,7863.0,2879.0,2879.0,0.0,0.0,0.0,0.0
156,16,1,2.0,True,2.0,True,6032.0,62,7864.0,7864.0,1832.0,1832.0,0.0,0.0,0.0,0.0
123,12,5,3.0,True,3.0,True,4473.0,61,7865.0,7865.0,3392.0,3392.0,0.0,0.0,0.0,0.0
142,61,3,3.0,True,3.0,True,5291.0,60,7866.0,7866.0,2575.0,2575.0,0.0,0.0,0.0,0.0
200,25,20,3.0,True,3.0,True,7621.0,59,7867.0,7867.0,246.0,246.0,0.0,0.0,0.0,0.0
195,14,4,4.0,True,4.0,True,7530.0,58,7868.0,7868.0,338.0,338.0,0.0,0.0,0.0,0.0
204,54,17,4.0,True,4.0,True,7789.0,57,7869.0,7869.0,80.0,80.0,0.0,0.0,0.0,0.0
126,63,23,4.0,True,4.0,True,4618.0,56,7870.0,7870.0,3252.0,3252.0,0.0,0.0,0.0,0.0
193,33,2,5.0,True,5.0,True,7494.0,55,7871.0,7871.0,377.0,377.0,0.0,0.0,0.0,0.0
192,49,19,5.0,True,5.0,True,7461.0,54,7872.0,7872.0,411.0,411.0,0.0,0.0,0.0,0.0
134,2,27,6.0,True,6.0,True,4958.0,53,7873.0,7873.0,2915.0,2915.0,0.0,0.0,0.0,0.0
122,13,6,7.0,True,7.0,True,4461.0,52,7874.0,7874.0,3413.0,3413.0,0.0,0.0,0.0,0.0
179,38,2,8.0,True,8.0,True,6846.0,51,7875.0,7875.0,1029.0,1029.0,0.0,0.0,0.0,0.0
163,4,23,8.0,True,8.0,True,6151.0,51,7876.0,7876.0,1725.0,1725.0,0.0,0.0,0.0,0.0
154,52,21,10.0,True,10.0,True,5955.0,50,7877.0,7877.0,1922.0,1922.0,0.0,0.0,0.0,0.0
202,54,11,11.0,True,11.0,True,7690.0,49,7878.0,7878.0,188.0,188.0,0.0,0.0,0.0,0.0
203,45,7,12.0,True,12.0,True,7735.0,48,7879.0,7879.0,144.0,144.0,0.0,0.0,0.0,0.0
160,1,26,22.0,True,22.0,True,6079.0,47,7880.0,7880.0,1801.0,1801.0,0.0,0.0,0.0,0.0
172,10,21,25.0,True,25.0,True,6560.0,46,7881.0,7881.0,1321.0,1321.0,0.0,0.0,0.0,0.0
194,22,16,33.0,True,33.0,True,7516.0,45,7882.0,7882.0,366.0,366.0,0.0,0.0,0.0,0.0
205,24,9,36.0,True,36.0,True,7813.0,44,7883.0,7883.0,70.0,70.0,0.0,0.0,0.0,0.0
175,46,16,43.0,True,43.0,True,6696.0,43,7884.0,7884.0,1188.0,1188.0,0.0,0.0,0.0,0.0
146,65,19,45.0,True,45.0,True,5553.0,42,7885.0,7885.0,2332.0,2332.0,0.0,0.0,0.0,0.0
190,50,18,47.0,True,47.0,True,7369.0,41,7886.0,7886.0,517.0,517.0,0.0,0.0,0.0,0.0
132,13,18,52.0,True,52.0,True,4902.0,40,7887.0,7887.0,2985.0,2985.0,0.0,0.0,0.0,0.0
177,26,24,67.0,True,67.0,True,6730.0,39,7888.0,7888.0,1158.0,1158.0,0.0,0.0,0.0,0.0
147,75,26,90.0,True,90.0,True,5628.0,38,7889.0,7889.0,2261.0,2261.0,0.0,0.0,0.0,0.0
143,78,20,99.0,True,99.0,True,5369.0,37,7890.0,7890.0,2521.0,2521.0,0.0,0.0,0.0,0.0
145,49,3,132.0,True,132.0,True,5488.0,36,7891.0,7891.0,2403.0,2403.0,0.0,0.0,0.0,0.0
191,43,10,151.0,True,151.0,True,7412.0,35,7892.0,7892.0,480.0,480.0,0.0,0.0,0.0,0.0
170,79,22,191.0,True,191.0,True,6527.0,34,7893.0,7893.0,1366.0,1366.0,0.0,0.0,0.0,0.0
166,45,26,211.0,True,211.0,True,6261.0,33,7894.0,7894.0,1633.0,1633.0,0.0,0.0,0.0,0.0
133,54,13,235.0,True,235.0,True,4956.0,32,7895.0,7895.0,2939.0,2939.0,0.0,0.0,0.0,0.0
173,29,7,244.0,True,244.0,True,6589.0,31,7896.0,7896.0,1307.0,1307.0,0.0,0.0,0.0,0.0
153,50,25,244.0,True,244.0,True,5903.0,30,7897.0,7897.0,1994.0,1994.0,0.0,0.0,0.0,0.0
