,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
45,29,18,3598.0,False,3598.0,False,752.0,-1,0,0,0.0,3,957.0,957.0,205.0,205.0,0.0,0.0,0.0,0.0
46,6,29,3598.0,False,3598.0,False,758.0,-1,0,0,0.0,1,957.0,957.0,199.0,199.0,0.0,0.0,0.0,0.0
47,16,25,1.0,True,1.0,True,774.0,-1,0,0,0.0,17,957.0,957.0,183.0,183.0,0.0,0.0,0.0,0.0
48,24,6,49.0,True,49.0,True,798.0,-1,0,0,0.0,6,957.0,957.0,159.0,159.0,0.0,0.0,0.0,0.0
49,12,20,3598.0,False,3598.0,False,810.0,-1,0,0,0.0,2,957.0,957.0,147.0,147.0,0.0,0.0,0.0,0.0
50,15,7,1.0,True,1.0,True,825.0,-1,0,0,0.0,9,957.0,957.0,132.0,132.0,0.0,0.0,0.0,0.0
51,20,6,1.0,True,1.0,True,845.0,-1,0,0,0.0,8,957.0,957.0,112.0,112.0,0.0,0.0,0.0,0.0
52,18,11,1.0,True,1.0,True,863.0,-1,0,0,0.0,16,957.0,957.0,94.0,94.0,0.0,0.0,0.0,0.0
53,12,2,1.0,True,1.0,True,875.0,-1,0,0,0.0,7,957.0,957.0,82.0,82.0,0.0,0.0,0.0,0.0
54,6,5,1.0,True,1.0,True,881.0,-1,0,0,0.0,13,957.0,957.0,76.0,76.0,0.0,0.0,0.0,0.0
55,3,2,1.0,True,1.0,True,884.0,-1,0,0,0.0,14,957.0,957.0,73.0,73.0,0.0,0.0,0.0,0.0
56,22,27,286.0,True,286.0,True,906.0,-1,0,0,0.0,5,957.0,957.0,51.0,51.0,0.0,0.0,0.0,0.0
57,20,15,1.0,True,1.0,True,926.0,-1,0,0,0.0,18,957.0,957.0,31.0,31.0,0.0,0.0,0.0,0.0
