,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
693,14,543,3598.0,False,3598.0,False,10982.0,0,0,1,0.0,3,11544.0,11544.0,562.0,562.0,0.0,3.0,0.0,0.0
727,25,712,1.0,True,1.0,True,11528.0,1,0,0,0.11,4,11544.0,11545.0,16.0,17.0,0.0,3.0,1.0,1.0
728,2,578,1.0,True,1.0,True,11530.0,1,0,0,0.0,3,11546.0,11547.0,16.0,17.0,0.0,3.0,1.0,1.0
729,17,630,1.0,True,1.0,True,11547.0,1,0,0,0.09,4,11548.0,11549.0,1.0,2.0,0.0,3.0,1.0,1.0
712,11,623,3598.0,False,3598.0,False,11286.0,0,0,3,0.0,3,11550.0,11550.0,264.0,264.0,0.0,3.0,0.0,0.0
718,21,562,3598.0,False,3598.0,False,11406.0,0,0,3,0.0,2,11551.0,11551.0,145.0,145.0,0.0,3.0,0.0,0.0
711,2,594,3598.0,False,3598.0,False,11275.0,0,0,3,0.0,1,11552.0,11552.0,277.0,277.0,0.0,3.0,0.0,0.0
700,29,536,3598.0,False,3598.0,False,11116.0,0,0,4,0.02,2,11553.0,11553.0,437.0,437.0,0.0,3.0,0.0,0.0
702,10,740,3598.0,False,3598.0,False,11145.0,0,0,3,0.0,1,11554.0,11554.0,409.0,409.0,0.0,3.0,0.0,0.0
730,23,559,1.0,True,1.0,True,11570.0,-1,0,0,0.0,0,11570.0,11571.0,0.0,1.0,16.0,3.0,1.0,1.0
731,17,663,1.0,True,1.0,True,11587.0,-1,0,0,0.0,0,11587.0,11588.0,0.0,1.0,16.0,3.0,1.0,1.0
732,13,627,1.0,True,1.0,True,11600.0,-1,0,0,0.0,0,11600.0,11601.0,0.0,1.0,12.0,3.0,1.0,1.0
733,4,717,1.0,True,1.0,True,11604.0,-1,0,0,0.0,0,11604.0,11605.0,0.0,1.0,13.0,2.0,1.0,1.0
734,18,747,1.0,True,1.0,True,11622.0,-1,0,0,0.0,0,11622.0,11623.0,0.0,1.0,21.0,3.0,1.0,1.0
735,6,586,501.0,True,501.0,True,11628.0,-1,0,0,0.0,0,11628.0,12129.0,0.0,501.0,23.0,2.0,1.0,1.0
736,23,545,254.0,True,254.0,True,11651.0,-1,0,0,0.0,0,11651.0,11905.0,0.0,254.0,28.0,3.0,1.0,1.0
740,25,707,39.0,True,39.0,True,11730.0,1,0,0,0.11,4,11756.0,11795.0,26.0,65.0,0.0,0.0,1.0,1.0
743,19,660,1.0,True,1.0,True,11768.0,1,0,0,0.09,4,11796.0,11797.0,28.0,29.0,0.0,0.0,1.0,1.0
738,28,515,27.0,True,27.0,True,11701.0,1,0,0,0.14,4,11798.0,11825.0,97.0,124.0,0.0,0.0,1.0,1.0
742,8,612,3.0,True,3.0,True,11749.0,1,0,0,0.0,3,11826.0,11829.0,77.0,80.0,0.0,0.0,1.0,1.0
741,11,714,307.0,True,307.0,True,11741.0,1,0,0,0.0,2,11830.0,12137.0,89.0,396.0,0.0,0.0,1.0,1.0
744,26,550,1.0,True,1.0,True,11794.0,1,0,0,0.0,1,11906.0,11907.0,112.0,113.0,0.0,3.0,1.0,1.0
747,30,544,1.0,True,1.0,True,11849.0,1,0,0,0.14,4,11908.0,11909.0,59.0,60.0,0.0,3.0,1.0,1.0
751,1,536,1.0,True,1.0,True,11890.0,1,0,0,0.0,3,11910.0,11911.0,20.0,21.0,0.0,3.0,1.0,1.0
