,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime
538,30,580,43.0,True,48.0,True,8494.0
539,30,663,69.0,True,73.0,True,8524.0
540,29,691,42.0,True,39.0,True,8553.0
541,27,688,276.0,True,91.0,True,8580.0
542,12,519,230.0,True,148.0,True,8592.0
543,30,700,3598.0,False,304.0,True,8622.0
544,28,540,47.0,True,107.0,True,8650.0
545,28,525,1525.0,True,355.0,True,8678.0
546,13,666,3598.0,False,973.0,False,8691.0
547,3,678,3598.0,False,311.0,True,8694.0
548,13,557,3598.0,False,1036.0,False,8707.0
549,18,537,8.0,True,45.0,True,8725.0
550,15,652,21.0,True,52.0,True,8740.0
551,9,584,42.0,True,700.0,False,8749.0
552,25,554,372.0,True,27.0,True,8774.0
553,10,546,2188.0,True,15.0,True,8784.0
554,22,655,128.0,True,1750.0,False,8806.0
555,13,736,3598.0,False,718.0,False,8819.0
556,7,615,1322.0,True,585.0,True,8826.0
557,14,671,34.0,True,35.0,True,8840.0
558,28,643,3598.0,False,1750.0,False,8868.0
559,25,724,42.0,True,59.0,True,8893.0
560,23,726,323.0,True,60.0,True,8916.0
561,20,594,3598.0,False,232.0,False,8936.0
562,16,555,2.0,True,26.0,True,8952.0
563,12,556,70.0,True,173.0,True,8964.0
564,6,529,3598.0,False,395.0,False,8970.0
565,29,580,30.0,True,323.0,True,8999.0
566,7,567,334.0,True,218.0,True,9006.0
567,31,517,844.0,True,229.0,True,9037.0
568,23,749,3598.0,False,143.0,True,9060.0
569,9,564,3598.0,False,1919.0,False,9069.0
570,23,574,1017.0,True,486.0,True,9092.0
571,14,582,825.0,True,235.0,True,9106.0
572,6,660,3598.0,False,273.0,True,9112.0
573,3,722,168.0,True,173.0,True,9115.0
574,31,596,3598.0,False,42.0,True,9146.0
575,10,613,480.0,True,156.0,True,9156.0
576,26,749,3598.0,False,506.0,True,9182.0
577,10,538,32.0,True,125.0,True,9192.0
578,16,689,3598.0,False,117.0,True,9208.0
579,30,567,60.0,True,233.0,True,9238.0
580,18,697,3598.0,False,161.0,True,9256.0
581,15,538,143.0,True,228.0,True,9271.0
582,14,541,3598.0,False,346.0,True,9285.0
583,30,677,1089.0,True,60.0,True,9315.0
584,7,557,1553.0,True,64.0,True,9322.0
585,16,705,3598.0,False,664.0,False,9338.0
586,15,623,3412.0,True,231.0,True,9353.0
587,22,534,505.0,True,116.0,True,9375.0
588,13,675,3598.0,False,182.0,True,9388.0
589,22,662,139.0,True,177.0,True,9410.0
590,25,583,415.0,True,327.0,True,9435.0
591,17,558,702.0,True,188.0,True,9452.0
592,17,569,3598.0,False,146.0,True,9469.0
593,11,539,204.0,True,116.0,True,9480.0
594,14,722,3598.0,False,602.0,True,9494.0
595,13,551,50.0,True,131.0,True,9507.0
596,27,510,2028.0,True,896.0,True,9534.0
597,3,618,3598.0,False,589.0,False,9537.0
598,15,547,9.0,True,25.0,True,9552.0
599,10,643,784.0,True,1593.0,False,9562.0
600,8,567,3598.0,False,3127.0,False,9570.0
601,12,581,240.0,True,181.0,True,9582.0
602,17,683,19.0,True,27.0,True,9599.0
603,12,638,1310.0,True,942.0,True,9611.0
604,24,541,3598.0,False,2173.0,False,9635.0
605,18,554,2938.0,True,1048.0,True,9653.0
606,23,574,3598.0,False,501.0,True,9676.0
607,24,630,305.0,True,93.0,True,9700.0
608,3,533,1416.0,True,1928.0,True,9703.0
609,12,531,159.0,True,245.0,True,9715.0
610,16,641,311.0,True,242.0,True,9731.0
611,5,597,126.0,True,79.0,True,9736.0
612,22,739,19.0,True,30.0,True,9758.0
613,12,661,33.0,True,25.0,True,9770.0
614,2,510,684.0,True,419.0,True,9772.0
615,20,736,3598.0,False,2193.0,False,9792.0
616,5,661,3598.0,False,1203.0,False,9797.0
617,19,723,3598.0,False,166.0,True,9816.0
618,21,676,259.0,True,69.0,True,9837.0
619,4,623,2005.0,True,1910.0,True,9841.0
620,29,594,1387.0,True,1234.0,True,9870.0
621,26,646,17.0,True,15.0,True,9896.0
622,2,564,108.0,True,130.0,True,9898.0
623,19,617,3598.0,False,2224.0,False,9917.0
624,20,518,21.0,True,25.0,True,9937.0
625,20,515,1521.0,True,1841.0,True,9957.0
626,7,691,3598.0,False,2484.0,False,9964.0
627,14,738,86.0,True,107.0,True,9978.0
628,31,670,31.0,True,36.0,True,10009.0
629,27,511,3598.0,False,277.0,True,10036.0
630,4,501,20.0,True,34.0,True,10040.0
631,25,715,64.0,True,28.0,True,10065.0
632,26,588,2.0,True,3.0,True,10091.0
633,24,624,43.0,True,35.0,True,10115.0
634,16,634,1.0,True,4.0,True,10131.0
635,11,707,270.0,True,119.0,True,10142.0
636,21,566,139.0,True,23.0,True,10163.0
637,29,612,41.0,True,21.0,True,10192.0
638,27,702,3598.0,False,157.0,True,10219.0
639,3,576,43.0,True,22.0,True,10222.0
640,1,645,65.0,True,39.0,True,10223.0
641,22,665,93.0,True,45.0,True,10245.0
642,11,593,159.0,True,200.0,True,10256.0
643,9,644,31.0,True,128.0,True,10265.0
644,21,649,85.0,True,28.0,True,10286.0
645,11,649,41.0,True,18.0,True,10297.0
646,6,726,2286.0,True,230.0,True,10303.0
647,10,669,75.0,True,21.0,True,10313.0
648,3,504,2.0,True,5.0,True,10316.0
649,28,532,81.0,True,37.0,True,10344.0
650,20,639,1.0,True,3.0,True,10364.0
651,11,529,1242.0,True,553.0,False,10375.0
652,14,519,74.0,True,84.0,True,10389.0
653,14,584,81.0,True,91.0,True,10403.0
654,17,619,555.0,True,199.0,True,10420.0
655,16,552,3598.0,False,448.0,True,10436.0
656,8,538,3598.0,False,248.0,True,10444.0
657,5,724,3598.0,False,244.0,False,10449.0
658,22,578,302.0,True,199.0,False,10471.0
659,19,545,3598.0,False,231.0,True,10490.0
660,14,552,3598.0,False,303.0,False,10504.0
661,29,530,5.0,True,13.0,True,10533.0
662,4,547,1.0,True,24.0,True,10537.0
663,7,641,495.0,True,272.0,True,10544.0
664,25,554,3598.0,False,229.0,True,10569.0
665,22,524,474.0,True,33.0,True,10591.0
666,18,590,24.0,True,28.0,True,10609.0
667,10,667,3598.0,False,2095.0,False,10619.0
668,8,613,71.0,True,30.0,True,10627.0
669,1,548,3598.0,False,281.0,True,10628.0
670,8,663,401.0,True,495.0,True,10636.0
671,13,536,130.0,True,198.0,True,10649.0
672,18,598,744.0,True,195.0,True,10667.0
673,2,640,3598.0,False,143.0,True,10669.0
674,16,555,3598.0,False,206.0,True,10685.0
675,21,692,3598.0,False,383.0,False,10706.0
676,29,553,3598.0,False,175.0,True,10735.0
677,21,608,1.0,True,15.0,True,10756.0
678,10,515,3.0,True,16.0,True,10766.0
679,19,533,149.0,True,231.0,True,10785.0
680,25,513,2607.0,True,225.0,True,10810.0
681,17,743,5.0,True,36.0,True,10827.0
682,12,561,26.0,True,16.0,True,10839.0
683,23,709,2559.0,True,82.0,True,10862.0
684,3,602,3598.0,False,453.0,True,10865.0
685,1,644,1.0,True,1.0,True,10866.0
686,23,723,1.0,True,1.0,True,10889.0
687,17,511,1.0,True,1.0,True,10906.0
688,1,564,66.0,True,47.0,True,10907.0
689,3,561,1.0,True,1.0,True,10910.0
690,9,580,3598.0,False,448.0,True,10919.0
691,28,683,1.0,True,1.0,True,10947.0
692,21,748,1.0,True,1.0,True,10968.0
693,14,543,3598.0,False,1775.0,False,10982.0
694,6,710,1.0,True,1.0,True,10988.0
695,25,738,1.0,True,1.0,True,11013.0
696,21,528,1.0,True,1.0,True,11034.0
697,14,638,1.0,True,2.0,True,11048.0
698,11,503,1.0,True,1.0,True,11059.0
699,28,585,1.0,True,1.0,True,11087.0
700,29,536,3598.0,False,367.0,True,11116.0
701,19,725,1.0,True,1.0,True,11135.0
702,10,740,3598.0,False,2619.0,False,11145.0
703,23,745,230.0,True,72.0,True,11168.0
704,14,737,1.0,True,1.0,True,11182.0
705,21,670,1.0,True,1.0,True,11203.0
706,6,506,1.0,True,1.0,True,11209.0
707,16,580,1.0,True,1.0,True,11225.0
708,12,599,1.0,True,1.0,True,11237.0
709,16,741,1.0,True,1.0,True,11253.0
710,20,579,1.0,True,1.0,True,11273.0
711,2,594,3598.0,False,2450.0,False,11275.0
712,11,623,3598.0,False,2183.0,False,11286.0
713,25,663,1.0,True,1.0,True,11311.0
714,26,500,1.0,True,1.0,True,11337.0
715,26,509,1.0,True,1.0,True,11363.0
716,20,521,1.0,True,1.0,True,11383.0
717,2,665,1.0,True,1.0,True,11385.0
718,21,562,3598.0,False,838.0,False,11406.0
719,7,728,1.0,True,1.0,True,11413.0
720,25,569,1.0,True,1.0,True,11438.0
721,5,614,1.0,True,1.0,True,11443.0
722,1,654,1.0,True,1.0,True,11444.0
723,8,584,35.0,True,164.0,True,11452.0
724,16,574,4.0,True,25.0,True,11468.0
725,19,543,1.0,True,1.0,True,11487.0
726,16,546,1.0,True,1.0,True,11503.0
727,25,712,1.0,True,1.0,True,11528.0
728,2,578,1.0,True,1.0,True,11530.0
729,17,630,1.0,True,1.0,True,11547.0
730,23,559,1.0,True,1.0,True,11570.0
731,17,663,1.0,True,1.0,True,11587.0
732,13,627,1.0,True,1.0,True,11600.0
733,4,717,1.0,True,1.0,True,11604.0
734,18,747,1.0,True,1.0,True,11622.0
735,6,586,501.0,True,183.0,True,11628.0
736,23,545,254.0,True,91.0,True,11651.0
737,22,720,3598.0,False,1473.0,False,11673.0
738,28,515,27.0,True,64.0,True,11701.0
739,4,679,3598.0,False,430.0,True,11705.0
740,25,707,39.0,True,107.0,True,11730.0
741,11,714,307.0,True,99.0,True,11741.0
742,8,612,3.0,True,24.0,True,11749.0
743,19,660,1.0,True,1.0,True,11768.0
744,26,550,1.0,True,1.0,True,11794.0
745,22,579,1.0,True,45.0,True,11816.0
746,3,722,1.0,True,1.0,True,11819.0
747,30,544,1.0,True,1.0,True,11849.0
748,9,552,2229.0,True,1875.0,True,11858.0
749,15,582,1.0,True,1.0,True,11873.0
750,16,698,1.0,True,1.0,True,11889.0
751,1,536,1.0,True,1.0,True,11890.0
752,31,637,59.0,True,61.0,True,11921.0
753,4,700,1.0,True,1.0,True,11925.0
754,6,721,1.0,True,1.0,True,11931.0
755,31,524,129.0,True,205.0,True,11962.0
756,14,561,1.0,True,1.0,True,11976.0
757,3,524,1.0,True,1.0,True,11979.0
758,4,700,1.0,True,1.0,True,11983.0
759,3,683,1.0,True,1.0,True,11986.0
760,16,691,1.0,True,1.0,True,12002.0
761,5,627,3598.0,False,511.0,False,12007.0
762,26,523,1.0,True,1.0,True,12033.0
763,20,515,59.0,True,90.0,True,12053.0
764,6,707,1.0,True,1.0,True,12059.0
765,27,571,1.0,True,1.0,True,12086.0
766,6,562,1.0,True,1.0,True,12092.0
767,12,527,208.0,True,197.0,False,12104.0
768,15,513,1.0,True,1.0,True,12119.0
769,30,564,1.0,True,1.0,True,12149.0
770,16,587,1.0,True,1.0,True,12165.0
771,6,525,1.0,True,1.0,True,12171.0
772,20,527,1.0,True,1.0,True,12191.0
773,17,512,1.0,True,1.0,True,12208.0
774,23,663,1.0,True,1.0,True,12231.0
775,20,681,1.0,True,1.0,True,12251.0
776,10,694,2099.0,True,332.0,True,12261.0
777,19,600,1.0,True,1.0,True,12280.0
778,15,698,1.0,True,1.0,True,12295.0
779,24,610,730.0,True,382.0,True,12319.0
780,12,712,1.0,True,1.0,True,12331.0
781,4,575,882.0,True,551.0,True,12335.0
782,5,605,1.0,True,1.0,True,12340.0
783,13,559,1837.0,True,1466.0,False,12353.0
784,21,725,239.0,True,109.0,True,12374.0
785,13,524,1.0,True,1.0,True,12387.0
786,22,683,3598.0,False,764.0,False,12409.0
787,21,740,1.0,True,1.0,True,12430.0
788,14,533,518.0,True,599.0,True,12444.0
789,17,669,1.0,True,3.0,True,12461.0
790,30,534,1.0,True,1.0,True,12491.0
791,25,599,208.0,True,224.0,False,12516.0
792,4,540,1.0,True,1.0,True,12520.0
793,15,525,1.0,True,1.0,True,12535.0
794,20,712,1.0,True,1.0,True,12555.0
795,28,744,2198.0,True,1222.0,False,12583.0
796,26,587,1.0,True,1.0,True,12609.0
797,12,581,1.0,True,1.0,True,12621.0
798,13,642,1.0,True,1.0,True,12634.0
799,18,697,1.0,True,1.0,True,12652.0
800,22,662,281.0,True,350.0,True,12674.0
801,21,561,3598.0,False,1005.0,False,12695.0
802,25,599,1.0,True,1.0,True,12720.0
803,24,663,1.0,True,1.0,True,12744.0
804,26,654,1.0,True,1.0,True,12770.0
805,23,560,3598.0,False,494.0,False,12793.0
806,22,590,1.0,True,1.0,True,12815.0
807,7,500,1.0,True,1.0,True,12822.0
808,30,567,1.0,True,1.0,True,12852.0
809,12,642,7.0,True,501.0,True,12864.0
810,18,524,1.0,True,1.0,True,12882.0
811,23,655,1.0,True,4.0,True,12905.0
812,31,523,1.0,True,1.0,True,12936.0
813,14,566,1.0,True,2.0,True,12950.0
814,16,596,1.0,True,1.0,True,12966.0
815,15,559,1.0,True,1.0,True,12981.0
816,17,699,1.0,True,1.0,True,12998.0
817,31,626,17.0,True,37.0,True,13029.0
818,6,500,21.0,True,536.0,True,13035.0
819,13,534,222.0,True,1087.0,True,13048.0
820,2,553,579.0,True,613.0,True,13050.0
821,22,510,179.0,True,248.0,True,13072.0
822,2,570,5.0,True,80.0,True,13074.0
823,23,659,2.0,True,2.0,True,13097.0
824,21,731,341.0,True,422.0,True,13118.0
825,23,547,1387.0,True,318.0,True,13141.0
826,29,734,69.0,True,402.0,True,13170.0
827,27,598,3598.0,False,844.0,False,13197.0
828,26,689,7.0,True,177.0,True,13223.0
829,14,695,10.0,True,41.0,True,13237.0
830,20,512,3598.0,False,639.0,False,13257.0
831,30,595,2.0,True,8.0,True,13287.0
832,6,557,2.0,True,5.0,True,13293.0
833,26,555,346.0,True,354.0,True,13319.0
834,19,510,2655.0,True,1048.0,True,13338.0
835,17,730,44.0,True,363.0,True,13355.0
836,12,632,74.0,True,386.0,True,13367.0
837,8,720,3598.0,False,1726.0,False,13375.0
838,15,561,433.0,True,518.0,True,13390.0
839,20,590,35.0,True,203.0,True,13410.0
840,9,573,10.0,True,16.0,True,13419.0
841,26,742,79.0,True,156.0,True,13445.0
842,31,544,502.0,True,115.0,True,13476.0
843,1,733,3598.0,False,145.0,True,13477.0
844,2,656,2.0,True,4.0,True,13479.0
845,12,575,9.0,True,75.0,True,13491.0
846,14,558,602.0,True,383.0,True,13505.0
847,11,722,3598.0,False,592.0,False,13516.0
848,26,505,1.0,True,52.0,True,13542.0
849,15,635,31.0,True,223.0,True,13557.0
850,18,531,550.0,True,463.0,True,13575.0
851,27,505,5.0,True,24.0,True,13602.0
852,1,691,3598.0,False,1660.0,False,13603.0
853,10,684,109.0,True,85.0,True,13613.0
854,8,697,15.0,True,129.0,True,13621.0
855,14,670,18.0,True,155.0,True,13635.0
856,17,511,4.0,True,13.0,True,13652.0
857,8,519,13.0,True,16.0,True,13660.0
858,3,658,652.0,True,304.0,True,13663.0
859,20,576,6.0,True,23.0,True,13683.0
860,24,608,15.0,True,51.0,True,13707.0
861,15,745,2.0,True,39.0,True,13722.0
862,10,688,2.0,True,70.0,True,13732.0
863,2,502,76.0,True,49.0,True,13734.0
864,18,639,3.0,True,24.0,True,13752.0
865,30,547,29.0,True,106.0,True,13782.0
866,16,694,39.0,True,391.0,True,13798.0
867,15,519,75.0,True,51.0,True,13813.0
868,10,658,1714.0,True,1652.0,True,13823.0
869,17,673,15.0,True,12.0,True,13840.0
870,7,531,149.0,True,90.0,True,13847.0
871,25,665,149.0,True,117.0,True,13872.0
872,23,668,4.0,True,41.0,True,13895.0
873,22,632,18.0,True,588.0,True,13917.0
874,5,737,2056.0,True,660.0,True,13922.0
875,2,633,1841.0,True,165.0,True,13924.0
876,28,620,3428.0,True,2631.0,False,13952.0
877,21,588,821.0,True,569.0,True,13973.0
878,9,585,295.0,True,65.0,True,13982.0
879,12,733,147.0,True,77.0,True,13994.0
880,17,702,1622.0,True,856.0,True,14011.0
881,20,513,221.0,True,185.0,True,14031.0
882,2,585,405.0,True,125.0,True,14033.0
883,5,610,3598.0,False,1036.0,False,14038.0
884,14,555,3598.0,False,226.0,True,14052.0
885,30,711,30.0,True,216.0,True,14082.0
886,24,665,3598.0,False,1337.0,False,14106.0
887,26,728,663.0,True,435.0,True,14132.0
888,1,678,126.0,True,294.0,True,14133.0
889,24,597,744.0,True,394.0,True,14157.0
890,9,746,191.0,True,182.0,True,14166.0
891,31,723,124.0,True,458.0,True,14197.0
892,30,513,270.0,True,282.0,True,14227.0
893,11,636,263.0,True,234.0,True,14238.0
894,3,549,399.0,True,375.0,True,14241.0
895,2,570,3598.0,False,1268.0,False,14243.0
896,11,643,215.0,True,1105.0,True,14254.0
897,8,741,3598.0,False,516.0,False,14262.0
898,20,608,34.0,True,100.0,True,14282.0
899,19,526,3598.0,False,354.0,True,14301.0
900,31,710,290.0,True,63.0,True,14332.0
901,1,613,3598.0,False,752.0,False,14333.0
902,15,720,2.0,True,41.0,True,14348.0
903,27,616,34.0,True,54.0,True,14375.0
904,13,516,53.0,True,56.0,True,14388.0
905,5,746,3598.0,False,264.0,True,14393.0
906,13,617,6.0,True,32.0,True,14406.0
907,30,598,35.0,True,122.0,True,14436.0
908,23,647,5.0,True,583.0,True,14459.0
909,18,701,289.0,True,57.0,True,14477.0
910,29,534,54.0,True,136.0,True,14506.0
911,25,742,3598.0,False,1310.0,False,14531.0
912,11,525,2723.0,True,1203.0,True,14542.0
913,25,529,196.0,True,224.0,False,14567.0
914,31,506,3598.0,False,213.0,False,14598.0
915,31,606,184.0,True,227.0,False,14629.0
916,28,520,149.0,True,96.0,True,14657.0
917,19,745,117.0,True,53.0,True,14676.0
918,16,720,3598.0,False,878.0,False,14692.0
919,6,588,3598.0,False,1381.0,False,14698.0
920,17,520,16.0,True,12.0,True,14715.0
921,1,624,10.0,True,12.0,True,14716.0
922,13,660,3598.0,False,362.0,True,14729.0
923,3,744,1.0,True,6.0,True,14732.0
924,28,573,45.0,True,200.0,True,14760.0
925,23,663,16.0,True,68.0,True,14783.0
926,12,685,2.0,True,27.0,True,14795.0
927,2,691,53.0,True,120.0,True,14797.0
928,5,544,2.0,True,4.0,True,14802.0
929,2,569,39.0,True,35.0,True,14804.0
930,19,714,31.0,True,25.0,True,14823.0
931,7,529,6.0,True,88.0,True,14830.0
932,17,542,22.0,True,33.0,True,14847.0
933,21,540,263.0,True,470.0,True,14868.0
934,17,557,231.0,True,101.0,True,14885.0
935,12,676,16.0,True,402.0,False,14897.0
936,20,695,43.0,True,26.0,True,14917.0
937,14,563,15.0,True,29.0,True,14931.0
938,8,511,23.0,True,23.0,True,14939.0
939,19,521,3.0,True,24.0,True,14958.0
940,25,646,123.0,True,94.0,True,14983.0
941,9,712,102.0,True,340.0,True,14992.0
942,25,538,589.0,True,289.0,True,15017.0
943,31,696,2.0,True,17.0,True,15048.0
944,15,675,2.0,True,22.0,True,15063.0
945,6,522,167.0,True,241.0,True,15069.0
946,5,523,630.0,True,185.0,True,15074.0
947,17,547,132.0,True,40.0,True,15091.0
948,4,725,71.0,True,553.0,True,15095.0
949,10,538,20.0,True,40.0,True,15105.0
950,7,620,2.0,True,26.0,True,15112.0
951,1,511,339.0,True,240.0,True,15113.0
952,4,734,5.0,True,32.0,True,15117.0
953,11,710,17.0,True,24.0,True,15128.0
954,12,520,11.0,True,501.0,True,15140.0
955,6,729,21.0,True,49.0,True,15146.0
956,22,651,7.0,True,119.0,True,15168.0
957,7,602,131.0,True,19.0,True,15175.0
958,8,639,72.0,True,246.0,True,15183.0
959,29,549,7.0,True,30.0,True,15212.0
960,8,605,875.0,True,21.0,True,15220.0
961,25,646,214.0,True,201.0,False,15245.0
962,31,629,189.0,True,211.0,False,15276.0
963,10,643,124.0,True,127.0,True,15286.0
964,21,659,110.0,True,149.0,True,15307.0
965,13,567,3598.0,False,2858.0,False,15320.0
966,28,718,455.0,True,404.0,True,15348.0
967,3,527,3598.0,False,1420.0,False,15351.0
968,25,638,3.0,True,2.0,True,15376.0
969,9,716,219.0,True,301.0,True,15385.0
970,26,615,3598.0,False,2461.0,False,15411.0
971,30,615,3598.0,False,3062.0,False,15441.0
972,4,702,2.0,True,1.0,True,15445.0
973,5,698,3.0,True,49.0,True,15450.0
974,14,580,426.0,True,614.0,True,15464.0
975,22,604,3598.0,False,593.0,True,15486.0
976,24,741,71.0,True,65.0,True,15510.0
977,18,561,740.0,True,392.0,True,15528.0
978,19,695,35.0,True,36.0,True,15547.0
979,13,747,3084.0,True,1634.0,False,15560.0
980,28,585,29.0,True,108.0,True,15588.0
981,2,688,29.0,True,361.0,True,15590.0
982,24,506,7.0,True,29.0,True,15614.0
983,25,709,230.0,True,188.0,True,15639.0
984,19,620,3.0,True,34.0,True,15658.0
985,27,616,92.0,True,64.0,True,15685.0
986,18,615,12.0,True,37.0,True,15703.0
